"Sp1.TL1","Sp2.TL1","Sp3.TL1","Sp4.TL1","Sp5.TL1","Sp6.TL1","Sp7.TL2","Sp8.TL2","Sp9.TL2","Sp10.TL3"
6.30737394452949e-09,0.00513157866554901,1.67765402081107e-12,0.00310522668392176,4.87145330919205e-14,5.3877056391301e-09,0.00181118577975351,0.00297559418288342,0.00234387379559542,0.00240356453613529
7.1443320752482e-09,0.00576690057967594,1.6704405274589e-12,0.00261700997126693,4.05075338789485e-14,4.96546086431074e-09,0.00181974845090151,0.00297091523821417,0.00208680587222768,0.00218994111506957
7.0459722063437e-09,0.00606056403405689,1.61424077906307e-12,0.00234359186876554,3.29976241624255e-14,5.050953381722e-09,0.00133951943539317,0.00268810326158738,0.00235274631994346,0.00196142180022413
8.06468860355308e-09,0.0054020477112869,1.76949402722402e-12,0.00238404520256564,3.27122546776315e-14,5.77360582279249e-09,0.00129912868764364,0.00246574748375353,0.00197970168818553,0.00181460838153153
6.80422820966819e-09,0.00448824665298394,1.87828308641071e-12,0.00244823315769128,3.63629814322621e-14,6.29582875309146e-09,0.00134901329080722,0.00225282122964962,0.0019330977047934,0.00199786382505431
6.10390430170837e-09,0.00433305377841815,1.84354766566283e-12,0.00235636633516494,4.13978543312174e-14,6.97877296023643e-09,0.0012729418179952,0.00236338359366193,0.00215735400606021,0.00169052559867017
6.35082152750452e-09,0.00473372437175352,1.71731215430377e-12,0.00215661831882499,4.03053826389812e-14,6.58821304929981e-09,0.00115584341570051,0.00219705231142369,0.00219078422656816,0.00181466683882223
5.78651025835614e-09,0.00526516523968883,1.42120202426108e-12,0.00247608887974252,4.42781925995846e-14,5.29961885509547e-09,0.00115879059886007,0.00208571009435846,0.00199340784823181,0.00170227801226308
5.00205215430325e-09,0.00502654965550814,1.08878479148927e-12,0.00274759339947724,4.31875473790514e-14,5.4515520286366e-09,0.00109293149889626,0.00180813734535069,0.00170530988171817,0.00174778647057474
6.18493104944405e-09,0.0050145950661193,1.27432239661592e-12,0.00278708371889126,5.51568486998294e-14,6.29780628021973e-09,0.00104322978881384,0.00185552382054789,0.00205135319751071,0.00178445852883001
6.70404441150235e-09,0.00420829187983825,1.3016875370079e-12,0.00268386890624608,6.08258079075163e-14,6.85861231297279e-09,0.00100781593335392,0.00172519012259541,0.00212511472707824,0.00180964299544536
7.04730782442074e-09,0.00390608202691174,1.1983667809503e-12,0.00244264217657694,6.86497718286258e-14,7.28839788411409e-09,0.000802530540491269,0.00157394140642,0.00253824143043692,0.00157472627856932
6.00814623500584e-09,0.00460971385512159,1.14297672909967e-12,0.00231867845137332,6.49940414310795e-14,7.34061488768805e-09,0.000664971106226221,0.00175810500459454,0.00268593553302532,0.00137358611451494
5.30098028735669e-09,0.00424835711257666,1.23376141999549e-12,0.00204433147591683,6.6742074529628e-14,6.62595808455408e-09,0.000689380048089428,0.00157358983696689,0.00208063071117648,0.0014903874103398
5.34498134576207e-09,0.00497621057402507,1.32574230506145e-12,0.00183986316424891,5.6112246395752e-14,6.91968311065886e-09,0.000738769344706428,0.00150187221919883,0.00191145768992283,0.00103796922278465
4.4424704463699e-09,0.00460798614337961,1.36785071057459e-12,0.00198631968286319,5.67164105811539e-14,6.62061869845202e-09,0.000725747335809957,0.00142349571902824,0.00194413688984259,0.000963066818700835
4.21681033454203e-09,0.00369722979070287,1.41403625696145e-12,0.00233923724259276,6.37557713049078e-14,6.35962852926466e-09,0.00070189555773282,0.00140108212952255,0.0016400273857334,0.000848350998091143
4.23265039100793e-09,0.00287568493625334,1.43969321459877e-12,0.00235147843961806,5.63626373071309e-14,5.99055123101634e-09,0.000613213929758798,0.0013898604930633,0.00164622204105678,0.000744081980251559
4.18473993946936e-09,0.00365152437243001,1.48672875846567e-12,0.002108922005563,6.16686900685833e-14,5.08608586342234e-09,0.000568768396004978,0.00138600497212713,0.00180125339726942,0.000784019875801117
3.70801497430339e-09,0.00375720473352137,1.37798087223028e-12,0.00194125545513468,6.30068929113199e-14,4.84735395671569e-09,0.00050849939530881,0.00143398788349515,0.00160173784655859,0.000743291800790795
3.78828095506205e-09,0.00404140050380648,1.39100224071177e-12,0.00231416246120229,6.66787521997176e-14,4.35924481970847e-09,0.000513834453595082,0.00115541679647274,0.00141896476349764,0.000733271120737552
3.75878874013725e-09,0.00409746156234609,1.33980037066492e-12,0.0026516548875788,6.95381325114091e-14,4.36054992735439e-09,0.000544813064692911,0.00109257414579397,0.00144639744099179,0.000701186446743323
3.43486939682062e-09,0.00440964394708249,1.28080018617786e-12,0.00266796864039007,6.43850224948716e-14,4.00122571970705e-09,0.000623553760622298,0.000973011390320967,0.00149440992806792,0.000840105656350923
3.1671914059925e-09,0.00481502540953361,1.29841122119384e-12,0.003153741828937,6.46744925182096e-14,3.74678279466328e-09,0.000632662978996603,0.000899757518356156,0.00156582319190613,0.000800708498539939
