Metric_0,Metric_1,Metric_2,Metric_3,Metric_4
0.188,0.379,0.218,0.193,0.379
0.19,0.401,0.218,0.188,0.379
0.19,0.365,0.21,0.19,0.401
0.186,0.373,0.208,0.19,0.365
0.191,0.376,0.216,0.186,0.373
0.197,0.396,0.225,0.191,0.376
0.298,0.482,0.327,0.197,0.396
0.206,0.395,0.225,0.298,0.482
0.193,0.397,0.221,0.206,0.395
0.199,0.377,0.215,0.193,0.397
0.191,0.376,0.216,0.199,0.377
0.188,0.38,0.221,0.191,0.376
0.182,0.354,0.221,0.188,0.38
0.188,0.352,0.226,0.182,0.354
0.265,0.421,0.287,0.188,0.352
0.184,0.358,0.219,0.265,0.421
0.182,0.358,0.208,0.184,0.358
0.188,0.369,0.226,0.182,0.358
0.194,0.388,0.225,0.188,0.369
0.192,0.374,0.23,0.194,0.388
0.184,0.363,0.21,0.192,0.374
0.194,0.365,0.218,0.184,0.363
0.181,0.352,0.205,0.194,0.365
0.172,0.341,0.195,0.181,0.352
0.176,0.343,0.21,0.172,0.341
0.173,0.331,0.195,0.176,0.343
0.178,0.33,0.193,0.173,0.331
0.17,0.335,0.195,0.178,0.33
0.174,0.335,0.208,0.17,0.335
0.177,0.337,0.199,0.174,0.335
0.172,0.333,0.199,0.177,0.337
0.253,0.426,0.271,0.172,0.333
0.178,0.334,0.203,0.253,0.426
0.224,0.417,0.271,0.178,0.334
0.171,0.332,0.199,0.224,0.417
0.171,0.338,0.203,0.171,0.332
0.162,0.313,0.19,0.171,0.338
0.164,0.314,0.186,0.162,0.313
0.17,0.329,0.205,0.164,0.314
0.176,0.317,0.191,0.17,0.329
0.174,0.323,0.192,0.176,0.317
0.167,0.321,0.188,0.174,0.323
0.178,0.324,0.2,0.167,0.321
0.19,0.369,0.221,0.178,0.324
0.174,0.326,0.195,0.19,0.369
0.172,0.318,0.193,0.174,0.326
0.182,0.331,0.207,0.172,0.318
0.169,0.325,0.193,0.182,0.331
0.165,0.327,0.19,0.169,0.325
0.168,0.325,0.197,0.165,0.327
0.172,0.334,0.198,0.168,0.325
0.172,0.335,0.2,0.172,0.334
0.26,0.411,0.277,0.172,0.335
0.177,0.36,0.212,0.26,0.411
0.165,0.331,0.202,0.177,0.36
0.249,0.407,0.279,0.165,0.331
0.169,0.328,0.197,0.249,0.407
0.172,0.315,0.189,0.169,0.328
0.162,0.32,0.191,0.172,0.315
0.172,0.319,0.196,0.162,0.32
0.182,0.343,0.195,0.172,0.319
0.17,0.347,0.204,0.182,0.343
0.177,0.322,0.19,0.17,0.347
0.169,0.331,0.192,0.177,0.322
0.247,0.401,0.269,0.169,0.331
0.174,0.318,0.198,0.247,0.401
0.167,0.331,0.196,0.174,0.318
0.168,0.334,0.195,0.167,0.331
0.166,0.313,0.187,0.168,0.334
0.258,0.386,0.275,0.166,0.313
0.163,0.321,0.193,0.258,0.386
0.166,0.319,0.195,0.163,0.321
0.176,0.336,0.199,0.166,0.319
0.184,0.352,0.205,0.176,0.336
0.177,0.355,0.207,0.184,0.352
0.176,0.35,0.201,0.177,0.355
0.18,0.35,0.206,0.176,0.35
0.182,0.353,0.206,0.18,0.35
0.267,0.455,0.292,0.182,0.353
0.189,0.341,0.203,0.267,0.455
0.177,0.346,0.199,0.189,0.341
0.167,0.33,0.196,0.177,0.346
0.176,0.349,0.21,0.167,0.33
0.17,0.341,0.204,0.176,0.349
0.178,0.376,0.205,0.17,0.341
0.24,0.661,0.289,0.178,0.376
0.188,0.347,0.208,0.24,0.661
0.173,0.337,0.219,0.188,0.347
0.192,0.349,0.207,0.173,0.337
0.184,0.348,0.204,0.192,0.349
0.172,0.353,0.2,0.184,0.348
0.18,0.34,0.2,0.172,0.353
0.181,0.347,0.206,0.18,0.34
0.172,0.342,0.201,0.181,0.347
0.18,0.362,0.202,0.172,0.342
0.173,0.354,0.205,0.18,0.362
0.185,0.359,0.208,0.173,0.354
0.182,0.356,0.201,0.185,0.359
0.181,0.358,0.213,0.182,0.356
0.175,0.358,0.217,0.181,0.358
0.176,0.362,0.203,0.175,0.358
0.291,0.459,0.319,0.176,0.362
0.18,0.346,0.205,0.291,0.459
0.179,0.363,0.211,0.18,0.346
0.26,0.437,0.293,0.179,0.363
0.168,0.337,0.207,0.26,0.437
0.173,0.354,0.208,0.168,0.337
0.171,0.336,0.2,0.173,0.354
0.179,0.349,0.215,0.171,0.336
0.175,0.349,0.195,0.179,0.349
0.176,0.34,0.205,0.175,0.349
0.175,0.332,0.195,0.176,0.34
0.172,0.336,0.204,0.175,0.332
0.167,0.341,0.211,0.172,0.336
0.169,0.334,0.192,0.167,0.341
0.173,0.332,0.199,0.169,0.334
0.168,0.338,0.2,0.173,0.332
0.167,0.331,0.193,0.168,0.338
0.167,0.326,0.184,0.167,0.331
0.156,0.31,0.19,0.167,0.326
0.155,0.307,0.194,0.156,0.31
0.156,0.29,0.178,0.155,0.307
0.159,0.31,0.186,0.156,0.29
0.156,0.303,0.182,0.159,0.31
0.161,0.312,0.189,0.156,0.303
0.156,0.322,0.187,0.161,0.312
0.164,0.302,0.187,0.156,0.322
0.165,0.318,0.185,0.164,0.302
0.24,0.416,0.286,0.165,0.318
0.164,0.296,0.188,0.24,0.416
0.164,0.307,0.184,0.164,0.296
0.16,0.314,0.211,0.164,0.307
0.158,0.307,0.185,0.16,0.314
0.165,0.306,0.183,0.158,0.307
0.175,0.314,0.187,0.165,0.306
0.166,0.321,0.183,0.175,0.314
0.165,0.326,0.18,0.166,0.321
0.241,0.396,0.27,0.165,0.326
0.153,0.313,0.184,0.241,0.396
0.185,0.342,0.203,0.153,0.313
0.171,0.341,0.194,0.185,0.342
0.259,0.426,0.274,0.171,0.341
0.171,0.307,0.187,0.259,0.426
0.165,0.306,0.189,0.171,0.307
0.275,0.426,0.295,0.165,0.306
0.158,0.302,0.194,0.275,0.426
0.166,0.314,0.188,0.158,0.302
0.165,0.316,0.187,0.166,0.314
0.156,0.313,0.192,0.165,0.316
0.161,0.305,0.187,0.156,0.313
0.159,0.311,0.197,0.161,0.305
0.154,0.31,0.19,0.159,0.311
0.16,0.311,0.184,0.154,0.31
0.163,0.318,0.199,0.16,0.311
0.159,0.314,0.184,0.163,0.318
0.169,0.33,0.193,0.159,0.314
0.164,0.325,0.19,0.169,0.33
0.16,0.304,0.185,0.164,0.325
0.164,0.303,0.191,0.16,0.304
0.161,0.303,0.181,0.164,0.303
0.165,0.319,0.184,0.161,0.303
0.166,0.321,0.193,0.165,0.319
0.158,0.305,0.184,0.166,0.321
0.156,0.31,0.192,0.158,0.305
0.163,0.334,0.191,0.156,0.31
0.664,0.895,0.598,0.163,0.334
0.156,0.311,0.187,0.664,0.895
0.155,0.313,0.192,0.156,0.311
0.173,0.33,0.202,0.155,0.313
0.173,0.333,0.199,0.173,0.33
0.172,0.347,0.201,0.173,0.333
0.169,0.345,0.204,0.172,0.347
0.176,0.36,0.209,0.169,0.345
0.192,0.385,0.223,0.176,0.36
0.189,0.356,0.216,0.192,0.385
0.182,0.351,0.2,0.189,0.356
0.18,0.361,0.213,0.182,0.351
0.185,0.364,0.214,0.18,0.361
0.172,0.34,0.207,0.185,0.364
0.176,0.356,0.206,0.172,0.34
0.179,0.358,0.209,0.176,0.356
0.179,0.34,0.216,0.179,0.358
0.187,0.36,0.207,0.179,0.34
0.171,0.348,0.207,0.187,0.36
0.177,0.355,0.203,0.171,0.348
0.175,0.356,0.196,0.177,0.355
0.182,0.351,0.208,0.175,0.356
0.28,0.445,0.214,0.182,0.351
0.183,0.357,0.209,0.28,0.445
0.171,0.341,0.196,0.183,0.357
0.258,0.466,0.307,0.171,0.341
0.268,0.441,0.301,0.258,0.466
0.183,0.358,0.21,0.268,0.441
0.18,0.364,0.208,0.183,0.358
0.181,0.387,0.228,0.18,0.364
0.19,0.373,0.218,0.181,0.387
0.178,0.371,0.202,0.19,0.373
0.191,0.378,0.215,0.178,0.371
0.198,0.384,0.214,0.191,0.378
0.176,0.338,0.197,0.198,0.384
0.192,0.37,0.206,0.176,0.338
0.195,0.378,0.214,0.192,0.37
0.186,0.377,0.204,0.195,0.378
0.193,0.372,0.216,0.186,0.377
0.191,0.372,0.214,0.193,0.372
0.182,0.368,0.218,0.191,0.372
0.195,0.402,0.215,0.182,0.368
0.184,0.384,0.208,0.195,0.402
0.183,0.352,0.214,0.184,0.384
0.273,0.469,0.314,0.183,0.352
0.19,0.351,0.206,0.273,0.469
0.273,0.472,0.299,0.19,0.351
0.183,0.377,0.219,0.273,0.472
0.187,0.365,0.212,0.183,0.377
0.175,0.339,0.197,0.187,0.365
0.174,0.338,0.193,0.175,0.339
0.176,0.341,0.209,0.174,0.338
0.175,0.347,0.206,0.176,0.341
0.17,0.335,0.202,0.175,0.347
0.186,0.347,0.208,0.17,0.335
0.192,0.351,0.216,0.186,0.347
0.177,0.34,0.199,0.192,0.351
0.174,0.338,0.201,0.177,0.34
0.177,0.338,0.194,0.174,0.338
0.175,0.329,0.189,0.177,0.338
0.173,0.345,0.199,0.175,0.329
0.167,0.339,0.191,0.173,0.345
0.171,0.334,0.195,0.167,0.339
0.179,0.333,0.197,0.171,0.334
0.169,0.333,0.2,0.179,0.333
0.175,0.338,0.194,0.169,0.333
0.163,0.326,0.193,0.175,0.338
0.163,0.344,0.196,0.163,0.326
0.168,0.331,0.194,0.163,0.344
0.171,0.338,0.2,0.168,0.331
0.18,0.363,0.21,0.171,0.338
0.183,0.344,0.193,0.18,0.363
0.172,0.322,0.2,0.183,0.344
0.174,0.334,0.195,0.172,0.322
0.17,0.324,0.196,0.174,0.334
0.166,0.324,0.199,0.17,0.324
0.164,0.321,0.197,0.166,0.324
0.173,0.327,0.192,0.164,0.321
0.164,0.321,0.213,0.173,0.327
0.17,0.333,0.201,0.164,0.321
0.177,0.326,0.195,0.17,0.333
0.17,0.337,0.205,0.177,0.326
0.161,0.324,0.188,0.17,0.337
0.161,0.327,0.19,0.161,0.324
0.166,0.329,0.193,0.161,0.327
0.162,0.329,0.194,0.166,0.329
0.169,0.328,0.19,0.162,0.329
0.185,0.354,0.229,0.169,0.328
0.159,0.325,0.198,0.185,0.354
0.166,0.334,0.195,0.159,0.325
0.162,0.323,0.186,0.166,0.334
0.173,0.338,0.204,0.162,0.323
0.176,0.319,0.193,0.173,0.338
0.173,0.331,0.206,0.176,0.319
0.168,0.339,0.201,0.173,0.331
0.169,0.341,0.189,0.168,0.339
0.172,0.33,0.194,0.169,0.341
0.164,0.329,0.22,0.172,0.33
0.177,0.351,0.195,0.164,0.329
0.18,0.361,0.213,0.177,0.351
0.268,0.459,0.296,0.18,0.361
0.183,0.362,0.224,0.268,0.459
0.193,0.384,0.215,0.183,0.362
0.183,0.374,0.214,0.193,0.384
0.185,0.363,0.214,0.183,0.374
0.176,0.355,0.206,0.185,0.363
0.181,0.368,0.208,0.176,0.355
0.185,0.382,0.208,0.181,0.368
0.181,0.361,0.205,0.185,0.382
0.178,0.356,0.207,0.181,0.361
0.181,0.354,0.207,0.178,0.356
0.181,0.382,0.214,0.181,0.354
0.185,0.38,0.213,0.181,0.382
0.19,0.375,0.211,0.185,0.38
0.18,0.358,0.211,0.19,0.375
0.183,0.366,0.212,0.18,0.358
0.189,0.365,0.205,0.183,0.366
0.188,0.356,0.208,0.189,0.365
0.179,0.375,0.224,0.188,0.356
0.189,0.373,0.217,0.179,0.375
0.254,0.535,0.303,0.189,0.373
0.183,0.38,0.217,0.254,0.535
0.181,0.361,0.211,0.183,0.38
0.188,0.359,0.205,0.181,0.361
0.182,0.364,0.201,0.188,0.359
0.196,0.375,0.214,0.182,0.364
0.178,0.381,0.216,0.196,0.375
0.178,0.361,0.204,0.178,0.381
0.192,0.374,0.215,0.178,0.361
0.198,0.384,0.216,0.192,0.374
0.19,0.383,0.211,0.198,0.384
0.194,0.384,0.22,0.19,0.383
0.193,0.377,0.206,0.194,0.384
0.185,0.374,0.216,0.193,0.377
0.182,0.382,0.209,0.185,0.374
0.255,0.432,0.282,0.182,0.382
0.182,0.361,0.213,0.255,0.432
0.181,0.358,0.221,0.182,0.361
0.181,0.378,0.219,0.181,0.358
0.197,0.373,0.208,0.181,0.378
0.178,0.365,0.204,0.197,0.373
0.178,0.367,0.206,0.178,0.365
0.178,0.366,0.203,0.178,0.367
0.169,0.347,0.207,0.178,0.366
0.178,0.352,0.204,0.169,0.347
0.176,0.345,0.196,0.178,0.352
0.172,0.342,0.198,0.176,0.345
0.175,0.341,0.198,0.172,0.342
0.163,0.325,0.182,0.175,0.341
0.168,0.325,0.186,0.163,0.325
0.164,0.329,0.2,0.168,0.325
0.17,0.342,0.189,0.164,0.329
0.173,0.332,0.185,0.17,0.342
0.162,0.337,0.198,0.173,0.332
0.165,0.336,0.188,0.162,0.337
0.162,0.334,0.188,0.165,0.336
0.167,0.341,0.19,0.162,0.334
0.166,0.332,0.194,0.167,0.341
0.165,0.336,0.181,0.166,0.332
0.159,0.326,0.183,0.165,0.336
0.168,0.315,0.184,0.159,0.326
0.257,0.419,0.286,0.168,0.315
0.165,0.333,0.187,0.257,0.419
0.156,0.322,0.18,0.165,0.333
0.16,0.325,0.19,0.156,0.322
0.164,0.33,0.19,0.16,0.325
0.183,0.373,0.201,0.164,0.33
0.185,0.346,0.216,0.183,0.373
0.165,0.361,0.191,0.185,0.346
