Metric_0,Metric_1,Metric_2,Metric_3,Metric_4
0.526,0.592,0.29,0.544,0.599
0.562,0.651,0.309,0.526,0.592
0.545,0.607,0.3,0.562,0.651
0.537,0.608,0.299,0.545,0.607
0.533,0.62,0.308,0.537,0.608
0.537,0.597,0.309,0.533,0.62
0.556,0.598,0.301,0.537,0.597
0.528,0.59,0.304,0.556,0.598
0.534,0.601,0.31,0.528,0.59
0.527,0.599,0.315,0.534,0.601
0.524,0.601,0.3,0.527,0.599
0.533,0.58,0.306,0.524,0.601
0.53,0.625,0.293,0.533,0.58
0.533,0.585,0.297,0.53,0.625
0.534,0.588,0.296,0.533,0.585
0.518,0.584,0.298,0.534,0.588
0.527,0.593,0.31,0.518,0.584
0.519,0.586,0.287,0.527,0.593
0.518,0.578,0.3,0.519,0.586
0.528,0.586,0.301,0.518,0.578
0.521,0.581,0.288,0.528,0.586
0.514,0.581,0.291,0.521,0.581
0.517,0.579,0.295,0.514,0.581
0.536,0.607,0.282,0.517,0.579
0.533,0.581,0.304,0.536,0.607
0.517,0.577,0.298,0.533,0.581
0.535,0.576,0.292,0.517,0.577
0.532,0.58,0.296,0.535,0.576
0.579,0.659,0.361,0.532,0.58
0.536,0.6,0.3,0.579,0.659
0.524,0.573,0.295,0.536,0.6
0.601,0.653,0.368,0.524,0.573
0.523,0.592,0.299,0.601,0.653
0.527,0.571,0.288,0.523,0.592
0.535,0.593,0.292,0.527,0.571
0.508,0.582,0.298,0.535,0.593
0.535,0.603,0.297,0.508,0.582
0.529,0.578,0.291,0.535,0.603
0.543,0.57,0.299,0.529,0.578
0.53,0.594,0.299,0.543,0.57
0.533,0.619,0.313,0.53,0.594
0.531,0.609,0.317,0.533,0.619
0.54,0.607,0.297,0.531,0.609
0.536,0.617,0.32,0.54,0.607
0.524,0.605,0.299,0.536,0.617
0.502,0.557,0.279,0.524,0.605
0.495,0.566,0.285,0.502,0.557
0.483,0.55,0.28,0.495,0.566
0.495,0.56,0.287,0.483,0.55
0.491,0.573,0.282,0.495,0.56
0.494,0.551,0.285,0.491,0.573
0.567,0.613,0.341,0.494,0.551
0.506,0.55,0.282,0.567,0.613
0.497,0.566,0.285,0.506,0.55
0.507,0.552,0.281,0.497,0.566
0.478,0.576,0.278,0.507,0.552
0.529,0.557,0.287,0.478,0.576
0.499,0.553,0.278,0.529,0.557
0.495,0.562,0.285,0.499,0.553
0.491,0.573,0.287,0.495,0.562
0.489,0.565,0.278,0.491,0.573
0.498,0.559,0.279,0.489,0.565
0.505,0.554,0.285,0.498,0.559
0.507,0.579,0.289,0.505,0.554
0.525,0.554,0.278,0.507,0.579
0.538,0.565,0.295,0.525,0.554
0.525,0.583,0.309,0.538,0.565
0.494,0.545,0.284,0.525,0.583
0.483,0.555,0.298,0.494,0.545
0.479,0.545,0.288,0.483,0.555
0.475,0.554,0.274,0.479,0.545
0.49,0.529,0.266,0.475,0.554
0.475,0.536,0.268,0.49,0.529
0.495,0.536,0.275,0.475,0.536
0.476,0.533,0.27,0.495,0.536
0.496,0.554,0.281,0.476,0.533
0.494,0.537,0.285,0.496,0.554
0.486,0.532,0.284,0.494,0.537
0.497,0.579,0.288,0.486,0.532
0.557,0.603,0.331,0.497,0.579
0.492,0.552,0.28,0.557,0.603
0.539,0.626,0.38,0.492,0.552
0.513,0.582,0.282,0.539,0.626
0.501,0.569,0.285,0.513,0.582
0.531,0.632,0.359,0.501,0.569
0.49,0.567,0.283,0.531,0.632
0.491,0.564,0.289,0.49,0.567
0.505,0.579,0.291,0.491,0.564
0.491,0.574,0.293,0.505,0.579
0.502,0.556,0.295,0.491,0.574
0.488,0.571,0.297,0.502,0.556
0.475,0.554,0.285,0.488,0.571
0.509,0.593,0.299,0.475,0.554
0.517,0.586,0.305,0.509,0.593
0.517,0.599,0.306,0.517,0.586
0.559,0.621,0.325,0.517,0.599
0.554,0.633,0.315,0.559,0.621
0.56,0.67,0.333,0.554,0.633
0.555,0.638,0.312,0.56,0.67
0.584,0.624,0.315,0.555,0.638
0.577,0.617,0.316,0.584,0.624
0.541,0.617,0.313,0.577,0.617
0.539,0.613,0.322,0.541,0.617
0.535,0.603,0.301,0.539,0.613
0.549,0.619,0.33,0.535,0.603
0.549,0.619,0.325,0.549,0.619
0.549,0.625,0.314,0.549,0.619
0.557,0.622,0.304,0.549,0.625
0.552,0.606,0.316,0.557,0.622
0.55,0.642,0.32,0.552,0.606
0.535,0.632,0.321,0.55,0.642
0.545,0.629,0.321,0.535,0.632
0.533,0.607,0.313,0.545,0.629
0.542,0.601,0.322,0.533,0.607
0.541,0.635,0.305,0.542,0.601
0.545,0.624,0.337,0.541,0.635
0.533,0.621,0.329,0.545,0.624
0.517,0.584,0.321,0.533,0.621
0.524,0.605,0.302,0.517,0.584
0.513,0.564,0.284,0.524,0.605
0.608,0.721,0.387,0.513,0.564
0.547,0.64,0.305,0.608,0.721
0.55,0.586,0.314,0.547,0.64
0.547,0.613,0.304,0.55,0.586
0.556,0.629,0.323,0.547,0.613
0.54,0.622,0.317,0.556,0.629
0.542,0.616,0.306,0.54,0.622
0.566,0.622,0.306,0.542,0.616
0.54,0.608,0.332,0.566,0.622
0.518,0.6,0.312,0.54,0.608
0.526,0.591,0.292,0.518,0.6
0.53,0.613,0.308,0.526,0.591
0.533,0.611,0.313,0.53,0.613
0.528,0.598,0.298,0.533,0.611
0.544,0.593,0.299,0.528,0.598
0.527,0.611,0.311,0.544,0.593
0.552,0.6,0.291,0.527,0.611
0.553,0.596,0.303,0.552,0.6
0.517,0.584,0.295,0.553,0.596
0.548,0.598,0.301,0.517,0.584
0.518,0.57,0.295,0.548,0.598
0.478,0.567,0.273,0.518,0.57
0.493,0.571,0.283,0.478,0.567
0.484,0.562,0.294,0.493,0.571
0.505,0.552,0.284,0.484,0.562
0.49,0.571,0.283,0.505,0.552
0.483,0.555,0.291,0.49,0.571
0.497,0.57,0.274,0.483,0.555
0.506,0.568,0.276,0.497,0.57
0.497,0.55,0.291,0.506,0.568
0.489,0.559,0.277,0.497,0.55
0.507,0.607,0.281,0.489,0.559
0.482,0.553,0.286,0.507,0.607
0.493,0.553,0.284,0.482,0.553
0.501,0.549,0.294,0.493,0.553
0.5,0.563,0.28,0.501,0.549
0.497,0.56,0.286,0.5,0.563
0.5,0.554,0.273,0.497,0.56
0.5,0.555,0.287,0.5,0.554
0.52,0.579,0.284,0.5,0.555
0.469,0.563,0.275,0.52,0.579
0.492,0.576,0.299,0.469,0.563
0.531,0.586,0.306,0.492,0.576
0.504,0.552,0.292,0.531,0.586
0.507,0.569,0.288,0.504,0.552
0.525,0.666,0.32,0.507,0.569
0.582,0.679,0.35,0.525,0.666
0.561,0.66,0.325,0.582,0.679
0.572,0.667,0.367,0.561,0.66
0.566,0.708,0.367,0.572,0.667
0.579,0.693,0.418,0.566,0.708
0.586,0.711,0.362,0.579,0.693
0.578,0.665,0.341,0.586,0.711
0.52,0.569,0.297,0.578,0.665
0.523,0.567,0.3,0.52,0.569
0.512,0.549,0.298,0.523,0.567
0.508,0.559,0.291,0.512,0.549
0.484,0.551,0.271,0.508,0.559
0.52,0.569,0.312,0.484,0.551
0.501,0.565,0.309,0.52,0.569
0.494,0.556,0.286,0.501,0.565
0.499,0.562,0.283,0.494,0.556
0.503,0.551,0.293,0.499,0.562
0.496,0.554,0.277,0.503,0.551
0.518,0.579,0.283,0.496,0.554
0.577,0.611,0.345,0.518,0.579
0.507,0.556,0.292,0.577,0.611
0.494,0.568,0.29,0.507,0.556
0.503,0.561,0.29,0.494,0.568
0.497,0.561,0.301,0.503,0.561
0.533,0.567,0.301,0.497,0.561
0.529,0.601,0.297,0.533,0.567
0.552,0.602,0.313,0.529,0.601
