Metric_0,Metric_1,Metric_2,Metric_3,Metric_4
0.165,0.342,0.201,0.149,0.32
0.148,0.31,0.176,0.165,0.342
0.157,0.325,0.181,0.148,0.31
0.147,0.306,0.186,0.157,0.325
0.163,0.343,0.186,0.147,0.306
0.152,0.318,0.184,0.163,0.343
0.155,0.305,0.189,0.152,0.318
0.149,0.297,0.175,0.155,0.305
0.151,0.305,0.175,0.149,0.297
0.153,0.336,0.176,0.151,0.305
0.157,0.316,0.192,0.153,0.336
0.15,0.289,0.172,0.157,0.316
0.146,0.299,0.174,0.15,0.289
0.151,0.303,0.185,0.146,0.299
0.144,0.313,0.175,0.151,0.303
0.151,0.303,0.183,0.144,0.313
0.149,0.314,0.181,0.151,0.303
0.163,0.347,0.192,0.149,0.314
0.166,0.354,0.193,0.163,0.347
0.154,0.339,0.196,0.166,0.354
0.171,0.371,0.195,0.154,0.339
0.163,0.342,0.193,0.171,0.371
0.167,0.338,0.189,0.163,0.342
0.157,0.362,0.184,0.167,0.338
0.156,0.331,0.191,0.157,0.362
0.161,0.332,0.178,0.156,0.331
0.163,0.361,0.197,0.161,0.332
0.159,0.363,0.187,0.163,0.361
0.165,0.364,0.184,0.159,0.363
0.16,0.336,0.19,0.165,0.364
0.215,0.5,0.272,0.16,0.336
0.153,0.33,0.183,0.215,0.5
0.151,0.337,0.182,0.153,0.33
0.165,0.334,0.182,0.151,0.337
0.167,0.328,0.186,0.165,0.334
0.16,0.356,0.19,0.167,0.328
0.16,0.334,0.194,0.16,0.356
0.158,0.325,0.188,0.16,0.334
0.156,0.338,0.179,0.158,0.325
0.156,0.34,0.186,0.156,0.338
0.156,0.329,0.19,0.156,0.34
0.22,0.569,0.271,0.156,0.329
0.163,0.328,0.179,0.22,0.569
0.164,0.336,0.188,0.163,0.328
0.168,0.331,0.188,0.164,0.336
0.161,0.334,0.18,0.168,0.331
0.161,0.34,0.186,0.161,0.334
0.166,0.354,0.197,0.161,0.34
0.176,0.372,0.202,0.166,0.354
0.173,0.371,0.198,0.176,0.372
