Metric_0,Metric_1,Metric_2,Metric_3,Metric_4
0.484,0.588,0.336,0.528,0.611
0.5,0.613,0.334,0.484,0.588
0.512,0.638,0.331,0.5,0.613
0.489,0.596,0.318,0.512,0.638
0.495,0.592,0.326,0.489,0.596
0.505,0.616,0.322,0.495,0.592
0.52,0.616,0.316,0.505,0.616
0.569,0.664,0.364,0.52,0.616
0.563,0.669,0.368,0.569,0.664
0.568,0.688,0.357,0.563,0.669
0.567,0.705,0.366,0.568,0.688
0.567,0.709,0.373,0.567,0.705
0.601,0.716,0.38,0.567,0.709
0.607,0.703,0.363,0.601,0.716
0.6,0.707,0.369,0.607,0.703
0.615,0.705,0.361,0.6,0.707
0.619,0.708,0.374,0.615,0.705
0.594,0.691,0.371,0.619,0.708
0.594,0.693,0.36,0.594,0.691
0.586,0.709,0.362,0.594,0.693
0.58,0.696,0.374,0.586,0.709
0.583,0.691,0.368,0.58,0.696
0.571,0.715,0.374,0.583,0.691
0.614,0.704,0.373,0.571,0.715
0.579,0.711,0.378,0.614,0.704
0.55,0.667,0.347,0.579,0.711
0.521,0.667,0.345,0.55,0.667
0.504,0.61,0.34,0.521,0.667
0.487,0.613,0.353,0.504,0.61
0.507,0.641,0.319,0.487,0.613
0.512,0.612,0.337,0.507,0.641
0.497,0.611,0.32,0.512,0.612
0.533,0.662,0.34,0.497,0.611
0.525,0.612,0.359,0.533,0.662
0.539,0.653,0.354,0.525,0.612
0.511,0.623,0.345,0.539,0.653
0.521,0.651,0.328,0.511,0.623
0.512,0.627,0.343,0.521,0.651
0.489,0.603,0.325,0.512,0.627
0.49,0.596,0.315,0.489,0.603
0.509,0.609,0.319,0.49,0.596
0.467,0.605,0.31,0.509,0.609
0.488,0.622,0.316,0.467,0.605
0.501,0.579,0.312,0.488,0.622
0.471,0.605,0.321,0.501,0.579
0.529,0.611,0.32,0.471,0.605
0.497,0.599,0.324,0.529,0.611
0.488,0.603,0.297,0.497,0.599
0.492,0.578,0.3,0.488,0.603
0.485,0.586,0.325,0.492,0.578
0.523,0.617,0.325,0.485,0.586
0.45,0.584,0.301,0.523,0.617
0.472,0.587,0.311,0.45,0.584
0.499,0.623,0.31,0.472,0.587
0.468,0.574,0.317,0.499,0.623
0.466,0.582,0.302,0.468,0.574
0.465,0.586,0.311,0.466,0.582
0.505,0.573,0.306,0.465,0.586
0.467,0.565,0.307,0.505,0.573
0.496,0.616,0.338,0.467,0.565
0.546,0.636,0.343,0.496,0.616
0.474,0.584,0.322,0.546,0.636
0.474,0.572,0.32,0.474,0.584
0.501,0.578,0.313,0.474,0.572
0.468,0.592,0.31,0.501,0.578
0.491,0.58,0.312,0.468,0.592
0.454,0.565,0.299,0.491,0.58
0.495,0.593,0.317,0.454,0.565
0.485,0.564,0.293,0.495,0.593
0.512,0.582,0.325,0.485,0.564
0.471,0.586,0.309,0.512,0.582
0.586,0.689,0.366,0.471,0.586
0.608,0.684,0.359,0.586,0.689
0.582,0.668,0.353,0.608,0.684
0.583,0.692,0.36,0.582,0.668
0.574,0.691,0.364,0.583,0.692
0.568,0.684,0.357,0.574,0.691
0.559,0.684,0.361,0.568,0.684
0.553,0.674,0.364,0.559,0.684
0.554,0.668,0.375,0.553,0.674
0.614,0.703,0.356,0.554,0.668
0.606,0.71,0.355,0.614,0.703
0.604,0.687,0.359,0.606,0.71
0.579,0.695,0.354,0.604,0.687
0.55,0.685,0.347,0.579,0.695
0.541,0.66,0.356,0.55,0.685
0.552,0.662,0.343,0.541,0.66
0.555,0.664,0.351,0.552,0.662
0.542,0.649,0.352,0.555,0.664
0.55,0.63,0.33,0.542,0.649
0.524,0.631,0.342,0.55,0.63
0.509,0.603,0.329,0.524,0.631
0.583,0.686,0.364,0.509,0.603
0.571,0.695,0.358,0.583,0.686
0.51,0.634,0.338,0.571,0.695
0.531,0.623,0.325,0.51,0.634
0.512,0.62,0.32,0.531,0.623
0.511,0.608,0.314,0.512,0.62
0.523,0.632,0.365,0.511,0.608
0.501,0.632,0.342,0.523,0.632
0.517,0.597,0.345,0.501,0.632
0.534,0.63,0.311,0.517,0.597
0.496,0.665,0.374,0.534,0.63
0.533,0.645,0.343,0.496,0.665
0.498,0.623,0.316,0.533,0.645
0.509,0.628,0.329,0.498,0.623
0.553,0.665,0.35,0.509,0.628
0.546,0.66,0.346,0.553,0.665
0.557,0.667,0.347,0.546,0.66
0.569,0.663,0.351,0.557,0.667
0.525,0.657,0.344,0.569,0.663
0.494,0.638,0.34,0.525,0.657
0.484,0.62,0.317,0.494,0.638
0.507,0.651,0.342,0.484,0.62
0.508,0.649,0.333,0.507,0.651
0.547,0.614,0.331,0.508,0.649
0.519,0.674,0.337,0.547,0.614
0.507,0.614,0.322,0.519,0.674
0.531,0.63,0.357,0.507,0.614
0.541,0.629,0.347,0.531,0.63
0.535,0.687,0.349,0.541,0.629
0.537,0.666,0.353,0.535,0.687
0.523,0.655,0.348,0.537,0.666
0.521,0.661,0.343,0.523,0.655
0.531,0.665,0.358,0.521,0.661
0.539,0.694,0.354,0.531,0.665
0.551,0.729,0.385,0.539,0.694
0.551,0.77,0.389,0.551,0.729
0.559,0.808,0.381,0.551,0.77
0.57,0.823,0.381,0.559,0.808
0.563,0.832,0.385,0.57,0.823
0.55,0.882,0.386,0.563,0.832
0.548,0.977,0.395,0.55,0.882
0.552,0.982,0.394,0.548,0.977
0.532,0.945,0.38,0.552,0.982
0.544,0.909,0.387,0.532,0.945
0.532,0.679,0.337,0.544,0.909
0.526,0.631,0.355,0.532,0.679
0.526,0.633,0.344,0.526,0.631
0.597,0.754,0.377,0.526,0.633
0.561,0.726,0.381,0.597,0.754
0.564,0.687,0.361,0.561,0.726
0.583,0.681,0.365,0.564,0.687
0.539,0.654,0.343,0.583,0.681
0.546,0.682,0.355,0.539,0.654
0.571,0.647,0.329,0.546,0.682
0.533,0.64,0.332,0.571,0.647
0.482,0.63,0.323,0.533,0.64
0.531,0.637,0.344,0.482,0.63
0.547,0.842,0.371,0.531,0.637
0.543,0.817,0.368,0.547,0.842
0.536,0.811,0.386,0.543,0.817
0.528,0.766,0.398,0.536,0.811
0.518,0.742,0.383,0.528,0.766
0.525,0.714,0.368,0.518,0.742
0.513,0.642,0.327,0.525,0.714
0.547,0.63,0.335,0.513,0.642
0.5,0.625,0.339,0.547,0.63
0.503,0.614,0.337,0.5,0.625
0.515,0.632,0.345,0.503,0.614
0.528,0.631,0.341,0.515,0.632
0.514,0.633,0.328,0.528,0.631
0.588,0.695,0.351,0.514,0.633
0.599,0.682,0.352,0.588,0.695
0.588,0.676,0.356,0.599,0.682
0.594,0.68,0.37,0.588,0.676
0.573,0.671,0.366,0.594,0.68
0.519,0.636,0.335,0.573,0.671
0.504,0.626,0.346,0.519,0.636
0.51,0.628,0.336,0.504,0.626
