Metric_0,Metric_1,Metric_2,Metric_3,Metric_4
0.447,0.52,0.281,0.432,0.527
0.457,0.522,0.289,0.447,0.52
0.442,0.522,0.293,0.457,0.522
0.423,0.52,0.284,0.442,0.522
0.421,0.521,0.277,0.423,0.52
0.432,0.523,0.279,0.421,0.521
0.431,0.523,0.276,0.432,0.523
0.419,0.514,0.277,0.431,0.523
0.417,0.515,0.274,0.419,0.514
0.413,0.51,0.271,0.417,0.515
0.42,0.519,0.272,0.413,0.51
0.42,0.525,0.27,0.42,0.519
0.414,0.534,0.277,0.42,0.525
0.429,0.536,0.282,0.414,0.534
0.42,0.549,0.28,0.429,0.536
0.426,0.543,0.281,0.42,0.549
0.444,0.56,0.28,0.426,0.543
0.429,0.557,0.293,0.444,0.56
0.419,0.541,0.291,0.429,0.557
0.436,0.55,0.289,0.419,0.541
0.438,0.549,0.282,0.436,0.55
0.442,0.54,0.28,0.438,0.549
0.434,0.54,0.289,0.442,0.54
0.414,0.544,0.281,0.434,0.54
0.411,0.54,0.288,0.414,0.544
0.415,0.529,0.286,0.411,0.54
0.421,0.53,0.286,0.415,0.529
0.412,0.505,0.277,0.421,0.53
0.42,0.517,0.286,0.412,0.505
0.437,0.499,0.277,0.42,0.517
0.435,0.508,0.269,0.437,0.499
0.438,0.513,0.274,0.435,0.508
0.428,0.516,0.269,0.438,0.513
0.418,0.53,0.265,0.428,0.516
0.411,0.526,0.268,0.418,0.53
0.403,0.52,0.278,0.411,0.526
0.414,0.518,0.287,0.403,0.52
0.425,0.517,0.29,0.414,0.518
0.401,0.52,0.286,0.425,0.517
0.401,0.521,0.309,0.401,0.52
0.403,0.525,0.323,0.401,0.521
0.405,0.537,0.31,0.403,0.525
0.407,0.543,0.308,0.405,0.537
0.42,0.561,0.308,0.407,0.543
0.422,0.566,0.294,0.42,0.561
0.416,0.547,0.29,0.422,0.566
0.411,0.546,0.304,0.416,0.547
0.416,0.544,0.298,0.411,0.546
0.423,0.533,0.31,0.416,0.544
0.42,0.539,0.302,0.423,0.533
0.415,0.545,0.293,0.42,0.539
0.429,0.529,0.305,0.415,0.545
0.435,0.532,0.314,0.429,0.529
0.441,0.53,0.31,0.435,0.532
0.431,0.532,0.314,0.441,0.53
0.434,0.542,0.312,0.431,0.532
0.433,0.534,0.304,0.434,0.542
0.431,0.53,0.315,0.433,0.534
0.437,0.543,0.315,0.431,0.53
0.428,0.539,0.315,0.437,0.543
0.427,0.531,0.297,0.428,0.539
0.433,0.538,0.293,0.427,0.531
0.423,0.514,0.286,0.433,0.538
0.404,0.516,0.296,0.423,0.514
0.405,0.523,0.287,0.404,0.516
0.41,0.536,0.289,0.405,0.523
0.399,0.541,0.28,0.41,0.536
0.404,0.525,0.281,0.399,0.541
0.415,0.522,0.287,0.404,0.525
0.417,0.532,0.288,0.415,0.522
0.41,0.526,0.283,0.417,0.532
0.427,0.521,0.272,0.41,0.526
0.427,0.518,0.281,0.427,0.521
0.424,0.523,0.283,0.427,0.518
0.413,0.513,0.288,0.424,0.523
0.42,0.516,0.282,0.413,0.513
0.418,0.53,0.279,0.42,0.516
0.414,0.522,0.285,0.418,0.53
0.405,0.514,0.296,0.414,0.522
0.416,0.518,0.29,0.405,0.514
0.41,0.527,0.295,0.416,0.518
0.408,0.51,0.285,0.41,0.527
0.406,0.523,0.286,0.408,0.51
0.401,0.526,0.277,0.406,0.523
0.399,0.524,0.271,0.401,0.526
0.41,0.522,0.282,0.399,0.524
0.397,0.528,0.269,0.41,0.522
0.4,0.534,0.268,0.397,0.528
0.401,0.534,0.274,0.4,0.534
0.397,0.526,0.276,0.401,0.534
0.405,0.539,0.282,0.397,0.526
0.402,0.542,0.277,0.405,0.539
0.403,0.537,0.28,0.402,0.542
0.402,0.54,0.279,0.403,0.537
0.418,0.541,0.287,0.402,0.54
0.42,0.538,0.286,0.418,0.541
0.412,0.552,0.287,0.42,0.538
0.417,0.544,0.288,0.412,0.552
0.406,0.558,0.284,0.417,0.544
0.416,0.554,0.289,0.406,0.558
0.419,0.538,0.281,0.416,0.554
0.42,0.54,0.289,0.419,0.538
0.412,0.525,0.284,0.42,0.54
0.413,0.52,0.283,0.412,0.525
0.41,0.523,0.306,0.413,0.52
0.41,0.528,0.303,0.41,0.523
0.412,0.529,0.305,0.41,0.528
0.403,0.523,0.299,0.412,0.529
0.423,0.519,0.291,0.403,0.523
0.425,0.522,0.278,0.423,0.519
0.421,0.537,0.279,0.425,0.522
0.412,0.524,0.287,0.421,0.537
0.41,0.527,0.294,0.412,0.524
0.408,0.515,0.293,0.41,0.527
0.411,0.541,0.293,0.408,0.515
0.403,0.551,0.297,0.411,0.541
0.403,0.558,0.292,0.403,0.551
0.405,0.539,0.292,0.403,0.558
0.408,0.537,0.283,0.405,0.539
0.413,0.535,0.291,0.408,0.537
0.422,0.538,0.287,0.413,0.535
0.414,0.538,0.285,0.422,0.538
0.417,0.534,0.28,0.414,0.538
0.415,0.533,0.279,0.417,0.534
0.418,0.541,0.279,0.415,0.533
0.418,0.542,0.271,0.418,0.541
0.458,0.542,0.281,0.418,0.542
0.451,0.555,0.287,0.458,0.542
0.444,0.528,0.304,0.451,0.555
0.417,0.524,0.269,0.444,0.528
0.415,0.525,0.282,0.417,0.524
0.413,0.525,0.275,0.415,0.525
0.415,0.532,0.294,0.413,0.525
0.408,0.526,0.276,0.415,0.532
0.418,0.527,0.275,0.408,0.526
