Metric_0,Metric_1,Metric_2,Metric_3,Metric_4
0.319,0.385,0.224,0.301,0.378
0.304,0.378,0.216,0.319,0.385
0.302,0.372,0.213,0.304,0.378
0.314,0.401,0.209,0.302,0.372
0.315,0.382,0.228,0.314,0.401
0.33,0.377,0.217,0.315,0.382
0.353,0.464,0.286,0.33,0.377
0.311,0.371,0.212,0.353,0.464
0.316,0.373,0.243,0.311,0.371
0.315,0.381,0.215,0.316,0.373
0.342,0.383,0.221,0.315,0.381
0.309,0.371,0.216,0.342,0.383
0.315,0.385,0.226,0.309,0.371
0.317,0.376,0.214,0.315,0.385
0.302,0.365,0.208,0.317,0.376
0.311,0.375,0.221,0.302,0.365
0.32,0.392,0.213,0.311,0.375
0.311,0.381,0.226,0.32,0.392
0.316,0.373,0.218,0.311,0.381
0.34,0.378,0.226,0.316,0.373
0.341,0.389,0.22,0.34,0.378
0.332,0.389,0.229,0.341,0.389
0.351,0.381,0.215,0.332,0.389
0.324,0.373,0.217,0.351,0.381
0.339,0.389,0.233,0.324,0.373
0.322,0.393,0.21,0.339,0.389
0.307,0.39,0.212,0.322,0.393
0.329,0.381,0.231,0.307,0.39
0.315,0.391,0.219,0.329,0.381
0.315,0.388,0.216,0.315,0.391
0.322,0.365,0.218,0.315,0.388
0.346,0.373,0.234,0.322,0.365
0.339,0.371,0.219,0.346,0.373
0.3,0.375,0.207,0.339,0.371
0.292,0.35,0.202,0.3,0.375
0.289,0.359,0.194,0.292,0.35
0.293,0.342,0.197,0.289,0.359
0.288,0.344,0.193,0.293,0.342
0.288,0.365,0.189,0.288,0.344
0.274,0.337,0.199,0.288,0.365
0.279,0.359,0.195,0.274,0.337
0.297,0.342,0.193,0.279,0.359
0.307,0.354,0.21,0.297,0.342
0.292,0.346,0.205,0.307,0.354
0.291,0.334,0.195,0.292,0.346
0.397,0.426,0.292,0.291,0.334
0.263,0.326,0.189,0.397,0.426
0.277,0.328,0.194,0.263,0.326
0.273,0.313,0.196,0.277,0.328
0.272,0.319,0.198,0.273,0.313
0.281,0.334,0.188,0.272,0.319
0.272,0.347,0.186,0.281,0.334
0.266,0.33,0.189,0.272,0.347
0.267,0.333,0.197,0.266,0.33
0.296,0.351,0.21,0.267,0.333
0.297,0.335,0.218,0.296,0.351
0.264,0.319,0.195,0.297,0.335
0.268,0.322,0.194,0.264,0.319
0.271,0.339,0.2,0.268,0.322
0.273,0.333,0.196,0.271,0.339
0.279,0.327,0.194,0.273,0.333
0.256,0.318,0.183,0.279,0.327
0.273,0.312,0.186,0.256,0.318
0.267,0.32,0.19,0.273,0.312
0.274,0.336,0.186,0.267,0.32
0.275,0.325,0.187,0.274,0.336
0.267,0.317,0.177,0.275,0.325
0.281,0.331,0.2,0.267,0.317
0.267,0.329,0.196,0.281,0.331
0.258,0.307,0.188,0.267,0.329
0.268,0.333,0.192,0.258,0.307
0.279,0.354,0.193,0.268,0.333
0.282,0.337,0.204,0.279,0.354
0.264,0.326,0.192,0.282,0.337
0.256,0.319,0.18,0.264,0.326
0.272,0.324,0.19,0.256,0.319
0.258,0.318,0.185,0.272,0.324
0.287,0.344,0.209,0.258,0.318
0.27,0.321,0.193,0.287,0.344
0.28,0.335,0.201,0.27,0.321
0.268,0.329,0.191,0.28,0.335
0.298,0.321,0.193,0.268,0.329
0.275,0.329,0.195,0.298,0.321
0.327,0.343,0.207,0.275,0.329
0.295,0.37,0.211,0.327,0.343
0.326,0.362,0.207,0.295,0.37
0.308,0.38,0.201,0.326,0.362
0.315,0.36,0.223,0.308,0.38
0.321,0.36,0.222,0.315,0.36
0.301,0.386,0.212,0.321,0.36
0.319,0.39,0.22,0.301,0.386
0.312,0.372,0.219,0.319,0.39
0.304,0.369,0.217,0.312,0.372
0.311,0.38,0.208,0.304,0.369
0.311,0.372,0.222,0.311,0.38
0.317,0.366,0.21,0.311,0.372
0.32,0.367,0.207,0.317,0.366
0.337,0.396,0.221,0.32,0.367
0.295,0.361,0.224,0.337,0.396
0.295,0.365,0.203,0.295,0.361
0.325,0.389,0.221,0.295,0.365
0.341,0.359,0.201,0.325,0.389
0.326,0.361,0.205,0.341,0.359
0.309,0.373,0.208,0.326,0.361
0.316,0.362,0.209,0.309,0.373
0.306,0.357,0.21,0.316,0.362
0.322,0.364,0.214,0.306,0.357
0.319,0.367,0.215,0.322,0.364
0.333,0.361,0.217,0.319,0.367
0.316,0.357,0.205,0.333,0.361
0.313,0.369,0.21,0.316,0.357
0.333,0.364,0.209,0.313,0.369
0.296,0.35,0.211,0.333,0.364
0.309,0.356,0.205,0.296,0.35
0.317,0.361,0.202,0.309,0.356
0.312,0.357,0.209,0.317,0.361
0.301,0.382,0.21,0.312,0.357
0.301,0.354,0.205,0.301,0.382
0.31,0.359,0.21,0.301,0.354
0.31,0.355,0.198,0.31,0.359
0.318,0.357,0.193,0.31,0.355
0.333,0.345,0.2,0.318,0.357
0.296,0.34,0.199,0.333,0.345
0.296,0.353,0.216,0.296,0.34
0.306,0.349,0.203,0.296,0.353
0.301,0.343,0.207,0.306,0.349
0.31,0.341,0.195,0.301,0.343
0.301,0.33,0.203,0.31,0.341
0.294,0.343,0.195,0.301,0.33
0.286,0.322,0.184,0.294,0.343
0.282,0.318,0.193,0.286,0.322
0.275,0.305,0.18,0.282,0.318
0.289,0.317,0.194,0.275,0.305
0.273,0.315,0.182,0.289,0.317
0.276,0.314,0.186,0.273,0.315
0.271,0.315,0.185,0.276,0.314
0.269,0.319,0.177,0.271,0.315
0.271,0.32,0.19,0.269,0.319
0.294,0.313,0.196,0.271,0.32
0.278,0.31,0.194,0.294,0.313
0.259,0.313,0.181,0.278,0.31
0.29,0.325,0.2,0.259,0.313
0.302,0.333,0.213,0.29,0.325
0.278,0.337,0.194,0.302,0.333
0.293,0.329,0.192,0.278,0.337
0.321,0.319,0.191,0.293,0.329
0.277,0.326,0.189,0.321,0.319
0.267,0.325,0.193,0.277,0.326
0.278,0.339,0.187,0.267,0.325
0.278,0.327,0.2,0.278,0.339
0.3,0.315,0.199,0.278,0.327
0.299,0.315,0.181,0.3,0.315
0.28,0.313,0.19,0.299,0.315
0.3,0.309,0.188,0.28,0.313
0.284,0.322,0.183,0.3,0.309
0.286,0.33,0.188,0.284,0.322
0.28,0.32,0.191,0.286,0.33
0.301,0.325,0.188,0.28,0.32
0.291,0.319,0.186,0.301,0.325
0.266,0.333,0.197,0.291,0.319
0.287,0.317,0.204,0.266,0.333
0.292,0.315,0.189,0.287,0.317
0.286,0.313,0.186,0.292,0.315
0.324,0.324,0.193,0.286,0.313
0.291,0.328,0.195,0.324,0.324
0.296,0.328,0.198,0.291,0.328
0.262,0.324,0.189,0.296,0.328
0.281,0.325,0.189,0.262,0.324
0.285,0.315,0.195,0.281,0.325
0.28,0.316,0.188,0.285,0.315
0.302,0.319,0.197,0.28,0.316
0.279,0.324,0.18,0.302,0.319
0.294,0.32,0.195,0.279,0.324
0.279,0.335,0.191,0.294,0.32
0.279,0.331,0.195,0.279,0.335
0.295,0.324,0.196,0.279,0.331
0.286,0.337,0.2,0.295,0.324
0.274,0.351,0.19,0.286,0.337
0.294,0.334,0.188,0.274,0.351
0.291,0.33,0.192,0.294,0.334
0.311,0.35,0.207,0.291,0.33
0.304,0.357,0.205,0.311,0.35
0.3,0.343,0.206,0.304,0.357
0.305,0.346,0.208,0.3,0.343
0.306,0.358,0.211,0.305,0.346
0.3,0.348,0.214,0.306,0.358
0.326,0.359,0.205,0.3,0.348
0.325,0.373,0.213,0.326,0.359
0.3,0.349,0.221,0.325,0.373
0.317,0.338,0.203,0.3,0.349
0.308,0.359,0.205,0.317,0.338
0.306,0.344,0.216,0.308,0.359
0.301,0.344,0.222,0.306,0.344
0.305,0.348,0.203,0.301,0.344
0.307,0.352,0.205,0.305,0.348
0.316,0.353,0.204,0.307,0.352
0.308,0.338,0.204,0.316,0.353
0.327,0.358,0.204,0.308,0.338
0.307,0.342,0.215,0.327,0.358
0.309,0.353,0.211,0.307,0.342
0.319,0.34,0.205,0.309,0.353
0.303,0.368,0.208,0.319,0.34
0.328,0.371,0.217,0.303,0.368
0.299,0.35,0.208,0.328,0.371
0.319,0.35,0.205,0.299,0.35
0.311,0.355,0.207,0.319,0.35
0.297,0.345,0.202,0.311,0.355
0.306,0.35,0.21,0.297,0.345
0.31,0.362,0.203,0.306,0.35
0.323,0.344,0.203,0.31,0.362
0.324,0.34,0.205,0.323,0.344
0.308,0.342,0.205,0.324,0.34
0.298,0.347,0.205,0.308,0.342
0.309,0.359,0.217,0.298,0.347
0.305,0.349,0.217,0.309,0.359
0.309,0.352,0.217,0.305,0.349
0.341,0.352,0.211,0.309,0.352
0.326,0.345,0.198,0.341,0.352
0.295,0.354,0.204,0.326,0.345
0.327,0.359,0.21,0.295,0.354
0.312,0.359,0.198,0.327,0.359
0.313,0.36,0.215,0.312,0.359
0.3,0.345,0.198,0.313,0.36
0.307,0.354,0.195,0.3,0.345
0.297,0.351,0.201,0.307,0.354
0.292,0.342,0.196,0.297,0.351
0.272,0.324,0.183,0.292,0.342
0.283,0.325,0.192,0.272,0.324
0.283,0.327,0.191,0.283,0.325
0.28,0.321,0.188,0.283,0.327
0.298,0.331,0.196,0.28,0.321
0.281,0.326,0.192,0.298,0.331
0.276,0.324,0.187,0.281,0.326
0.299,0.334,0.199,0.276,0.324
0.316,0.333,0.191,0.299,0.334
0.305,0.321,0.194,0.316,0.333
0.292,0.33,0.191,0.305,0.321
0.294,0.337,0.21,0.292,0.33
0.291,0.326,0.19,0.294,0.337
0.291,0.336,0.187,0.291,0.326
0.282,0.32,0.191,0.291,0.336
0.287,0.332,0.2,0.282,0.32
0.292,0.333,0.195,0.287,0.332
0.304,0.337,0.198,0.292,0.333
0.289,0.33,0.194,0.304,0.337
0.286,0.34,0.199,0.289,0.33
0.275,0.33,0.197,0.286,0.34
0.281,0.33,0.189,0.275,0.33
0.3,0.316,0.204,0.281,0.33
0.281,0.351,0.195,0.3,0.316
0.31,0.34,0.189,0.281,0.351
0.302,0.326,0.2,0.31,0.34
0.285,0.337,0.201,0.302,0.326
0.283,0.339,0.191,0.285,0.337
0.299,0.324,0.2,0.283,0.339
0.275,0.33,0.193,0.299,0.324
0.278,0.321,0.182,0.275,0.33
0.274,0.324,0.195,0.278,0.321
0.277,0.327,0.199,0.274,0.324
0.287,0.349,0.193,0.277,0.327
0.293,0.317,0.187,0.287,0.349
0.285,0.329,0.192,0.293,0.317
0.287,0.342,0.203,0.285,0.329
0.294,0.324,0.202,0.287,0.342
0.305,0.321,0.186,0.294,0.324
0.31,0.336,0.195,0.305,0.321
0.284,0.319,0.199,0.31,0.336
0.298,0.332,0.195,0.284,0.319
0.299,0.326,0.196,0.298,0.332
0.291,0.325,0.191,0.299,0.326
0.293,0.332,0.19,0.291,0.325
0.278,0.324,0.189,0.293,0.332
0.285,0.323,0.191,0.278,0.324
0.28,0.327,0.2,0.285,0.323
0.302,0.33,0.196,0.28,0.327
0.293,0.343,0.208,0.302,0.33
0.318,0.353,0.208,0.293,0.343
0.298,0.34,0.204,0.318,0.353
0.303,0.356,0.208,0.298,0.34
0.296,0.337,0.196,0.303,0.356
0.302,0.34,0.202,0.296,0.337
0.309,0.35,0.207,0.302,0.34
0.32,0.35,0.204,0.309,0.35
0.324,0.351,0.202,0.32,0.35
0.331,0.346,0.198,0.324,0.351
0.312,0.344,0.2,0.331,0.346
0.335,0.36,0.209,0.312,0.344
0.315,0.352,0.209,0.335,0.36
0.316,0.388,0.215,0.315,0.352
0.311,0.35,0.201,0.316,0.388
0.297,0.342,0.203,0.311,0.35
0.309,0.346,0.204,0.297,0.342
0.308,0.359,0.199,0.309,0.346
0.319,0.374,0.206,0.308,0.359
0.294,0.352,0.202,0.319,0.374
0.321,0.344,0.201,0.294,0.352
0.308,0.353,0.206,0.321,0.344
0.298,0.345,0.201,0.308,0.353
0.297,0.364,0.218,0.298,0.345
0.303,0.374,0.213,0.297,0.364
0.337,0.347,0.205,0.303,0.374
0.325,0.346,0.209,0.337,0.347
0.319,0.359,0.198,0.325,0.346
0.308,0.345,0.21,0.319,0.359
0.309,0.357,0.203,0.308,0.345
0.317,0.362,0.205,0.309,0.357
0.298,0.348,0.198,0.317,0.362
0.305,0.353,0.215,0.298,0.348
0.3,0.343,0.198,0.305,0.353
0.314,0.351,0.211,0.3,0.343
0.304,0.336,0.2,0.314,0.351
0.311,0.343,0.199,0.304,0.336
0.319,0.369,0.2,0.311,0.343
0.311,0.347,0.202,0.319,0.369
0.309,0.35,0.207,0.311,0.347
0.322,0.342,0.212,0.309,0.35
0.311,0.36,0.205,0.322,0.342
0.308,0.358,0.203,0.311,0.36
0.322,0.342,0.2,0.308,0.358
0.301,0.353,0.205,0.322,0.342
0.307,0.351,0.206,0.301,0.353
