Metric_0,Metric_1,Metric_2,Metric_3,Metric_4
0.267,0.321,0.199,0.264,0.34
0.283,0.327,0.197,0.267,0.321
0.264,0.314,0.192,0.283,0.327
0.281,0.323,0.2,0.264,0.314
0.283,0.335,0.202,0.281,0.323
0.319,0.358,0.212,0.283,0.335
0.26,0.319,0.187,0.319,0.358
0.253,0.318,0.19,0.26,0.319
0.269,0.326,0.197,0.253,0.318
0.271,0.337,0.186,0.269,0.326
0.28,0.33,0.209,0.271,0.337
0.263,0.328,0.199,0.28,0.33
0.273,0.336,0.207,0.263,0.328
0.285,0.335,0.196,0.273,0.336
0.266,0.331,0.207,0.285,0.335
0.273,0.333,0.198,0.266,0.331
0.276,0.337,0.187,0.273,0.333
0.282,0.352,0.201,0.276,0.337
0.271,0.346,0.203,0.282,0.352
0.281,0.335,0.192,0.271,0.346
0.266,0.324,0.188,0.281,0.335
0.277,0.325,0.21,0.266,0.324
0.273,0.318,0.189,0.277,0.325
0.258,0.308,0.201,0.273,0.318
0.264,0.312,0.197,0.258,0.308
0.277,0.31,0.191,0.264,0.312
0.268,0.318,0.191,0.277,0.31
0.263,0.331,0.194,0.268,0.318
0.266,0.328,0.192,0.263,0.331
0.283,0.308,0.179,0.266,0.328
0.276,0.319,0.187,0.283,0.308
0.269,0.304,0.187,0.276,0.319
0.268,0.333,0.194,0.269,0.304
0.261,0.345,0.192,0.268,0.333
0.264,0.332,0.204,0.261,0.345
0.29,0.339,0.214,0.264,0.332
0.305,0.357,0.22,0.29,0.339
0.289,0.344,0.207,0.305,0.357
0.29,0.344,0.201,0.289,0.344
0.309,0.342,0.208,0.29,0.344
0.299,0.357,0.219,0.309,0.342
0.296,0.354,0.2,0.299,0.357
0.302,0.36,0.21,0.296,0.354
0.298,0.365,0.208,0.302,0.36
0.285,0.345,0.201,0.298,0.365
0.298,0.371,0.203,0.285,0.345
0.286,0.337,0.199,0.298,0.371
0.29,0.346,0.204,0.286,0.337
0.305,0.351,0.197,0.29,0.346
0.305,0.374,0.238,0.305,0.351
0.325,0.379,0.207,0.305,0.374
0.316,0.393,0.223,0.325,0.379
0.293,0.364,0.216,0.316,0.393
0.305,0.365,0.21,0.293,0.364
0.3,0.379,0.203,0.305,0.365
0.298,0.373,0.216,0.3,0.379
0.307,0.385,0.219,0.298,0.373
0.293,0.361,0.207,0.307,0.385
0.299,0.348,0.205,0.293,0.361
0.311,0.367,0.216,0.299,0.348
0.313,0.373,0.236,0.311,0.367
0.312,0.365,0.207,0.313,0.373
0.303,0.357,0.215,0.312,0.365
0.324,0.357,0.21,0.303,0.357
0.288,0.357,0.222,0.324,0.357
0.305,0.36,0.203,0.288,0.357
0.297,0.352,0.21,0.305,0.36
0.294,0.379,0.201,0.297,0.352
0.305,0.351,0.206,0.294,0.379
0.281,0.347,0.206,0.305,0.351
0.308,0.362,0.211,0.281,0.347
0.295,0.363,0.205,0.308,0.362
0.301,0.379,0.204,0.295,0.363
0.318,0.353,0.204,0.301,0.379
0.295,0.37,0.214,0.318,0.353
0.297,0.362,0.21,0.295,0.37
0.302,0.372,0.21,0.297,0.362
0.298,0.353,0.2,0.302,0.372
0.287,0.343,0.198,0.298,0.353
0.306,0.351,0.207,0.287,0.343
0.287,0.333,0.202,0.306,0.351
0.278,0.317,0.187,0.287,0.333
0.267,0.317,0.175,0.278,0.317
0.273,0.326,0.194,0.267,0.317
0.27,0.332,0.194,0.273,0.326
0.272,0.327,0.185,0.27,0.332
0.269,0.334,0.191,0.272,0.327
0.262,0.317,0.195,0.269,0.334
0.258,0.312,0.182,0.262,0.317
0.255,0.316,0.193,0.258,0.312
0.261,0.319,0.195,0.255,0.316
0.273,0.316,0.189,0.261,0.319
0.281,0.32,0.197,0.273,0.316
0.273,0.326,0.191,0.281,0.32
0.283,0.325,0.188,0.273,0.326
0.274,0.33,0.195,0.283,0.325
0.258,0.318,0.182,0.274,0.33
0.258,0.34,0.187,0.258,0.318
0.269,0.312,0.185,0.258,0.34
0.267,0.311,0.194,0.269,0.312
0.265,0.321,0.193,0.267,0.311
0.286,0.357,0.208,0.265,0.321
0.296,0.361,0.2,0.286,0.357
0.271,0.319,0.196,0.296,0.361
0.274,0.332,0.19,0.271,0.319
0.258,0.314,0.191,0.274,0.332
0.291,0.338,0.189,0.258,0.314
0.277,0.335,0.181,0.291,0.338
0.283,0.33,0.207,0.277,0.335
0.261,0.339,0.19,0.283,0.33
0.282,0.353,0.193,0.261,0.339
0.29,0.342,0.19,0.282,0.353
0.272,0.336,0.197,0.29,0.342
0.288,0.324,0.207,0.272,0.336
0.291,0.348,0.212,0.288,0.324
0.282,0.327,0.214,0.291,0.348
0.272,0.318,0.191,0.282,0.327
0.28,0.331,0.202,0.272,0.318
0.28,0.35,0.211,0.28,0.331
0.304,0.329,0.192,0.28,0.35
0.262,0.321,0.189,0.304,0.329
0.269,0.331,0.194,0.262,0.321
0.273,0.32,0.189,0.269,0.331
0.257,0.349,0.196,0.273,0.32
0.264,0.326,0.196,0.257,0.349
0.266,0.323,0.19,0.264,0.326
0.283,0.333,0.19,0.266,0.323
0.375,0.446,0.298,0.283,0.333
0.27,0.33,0.207,0.375,0.446
0.296,0.351,0.195,0.27,0.33
0.278,0.35,0.219,0.296,0.351
0.296,0.351,0.202,0.278,0.35
0.313,0.359,0.204,0.296,0.351
0.319,0.365,0.206,0.313,0.359
0.298,0.346,0.208,0.319,0.365
0.29,0.357,0.207,0.298,0.346
0.294,0.378,0.212,0.29,0.357
0.3,0.356,0.203,0.294,0.378
0.302,0.349,0.202,0.3,0.356
0.323,0.364,0.219,0.302,0.349
0.3,0.367,0.208,0.323,0.364
0.297,0.357,0.213,0.3,0.367
0.289,0.378,0.211,0.297,0.357
0.293,0.368,0.203,0.289,0.378
0.311,0.364,0.209,0.293,0.368
0.292,0.361,0.2,0.311,0.364
0.309,0.369,0.204,0.292,0.361
0.321,0.389,0.224,0.309,0.369
0.319,0.426,0.288,0.321,0.389
0.307,0.372,0.218,0.319,0.426
0.286,0.364,0.206,0.307,0.372
0.293,0.351,0.211,0.286,0.364
0.321,0.357,0.215,0.293,0.351
0.288,0.351,0.201,0.321,0.357
0.31,0.39,0.205,0.288,0.351
0.301,0.365,0.209,0.31,0.39
0.294,0.367,0.208,0.301,0.365
0.298,0.366,0.207,0.294,0.367
0.303,0.384,0.214,0.298,0.366
0.322,0.364,0.221,0.303,0.384
0.302,0.363,0.202,0.322,0.364
0.299,0.377,0.222,0.302,0.363
0.295,0.378,0.214,0.299,0.377
0.32,0.378,0.213,0.295,0.378
0.299,0.354,0.209,0.32,0.378
0.289,0.359,0.221,0.299,0.354
0.3,0.354,0.218,0.289,0.359
0.311,0.363,0.208,0.3,0.354
