Metric_0,Metric_1,Metric_2,Metric_3,Metric_4
0.418,0.526,0.292,0.417,0.533
0.41,0.53,0.287,0.418,0.526
0.423,0.544,0.297,0.41,0.53
0.417,0.533,0.295,0.423,0.544
0.409,0.53,0.283,0.417,0.533
0.418,0.527,0.289,0.409,0.53
0.422,0.527,0.281,0.418,0.527
0.416,0.509,0.279,0.422,0.527
0.421,0.518,0.277,0.416,0.509
0.413,0.52,0.29,0.421,0.518
0.417,0.514,0.278,0.413,0.52
0.412,0.514,0.29,0.417,0.514
0.411,0.523,0.291,0.412,0.514
0.408,0.511,0.293,0.411,0.523
0.404,0.514,0.281,0.408,0.511
0.413,0.508,0.291,0.404,0.514
0.422,0.523,0.284,0.413,0.508
0.436,0.532,0.293,0.422,0.523
0.428,0.527,0.295,0.436,0.532
0.424,0.538,0.3,0.428,0.527
0.419,0.562,0.309,0.424,0.538
0.425,0.548,0.311,0.419,0.562
0.423,0.587,0.299,0.425,0.548
0.421,0.583,0.297,0.423,0.587
0.419,0.564,0.285,0.421,0.583
0.409,0.533,0.284,0.419,0.564
0.418,0.522,0.287,0.409,0.533
0.409,0.523,0.296,0.418,0.522
0.411,0.522,0.284,0.409,0.523
0.406,0.518,0.28,0.411,0.522
0.396,0.507,0.291,0.406,0.518
0.409,0.496,0.285,0.396,0.507
0.41,0.511,0.285,0.409,0.496
0.399,0.51,0.282,0.41,0.511
0.409,0.52,0.286,0.399,0.51
0.439,0.573,0.317,0.409,0.52
0.445,0.59,0.324,0.439,0.573
0.458,0.593,0.321,0.445,0.59
0.444,0.583,0.32,0.458,0.593
0.452,0.586,0.322,0.444,0.583
0.484,0.627,0.362,0.452,0.586
0.529,0.663,0.406,0.484,0.627
0.536,0.686,0.407,0.529,0.663
0.534,0.705,0.399,0.536,0.686
0.506,0.68,0.392,0.534,0.705
0.495,0.641,0.372,0.506,0.68
0.491,0.627,0.374,0.495,0.641
0.498,0.63,0.372,0.491,0.627
0.493,0.623,0.371,0.498,0.63
0.49,0.618,0.37,0.493,0.623
0.457,0.592,0.343,0.49,0.618
0.433,0.581,0.323,0.457,0.592
0.426,0.554,0.296,0.433,0.581
0.417,0.538,0.289,0.426,0.554
0.424,0.534,0.285,0.417,0.538
0.427,0.532,0.287,0.424,0.534
0.43,0.531,0.294,0.427,0.532
0.429,0.542,0.298,0.43,0.531
0.43,0.557,0.297,0.429,0.542
0.425,0.568,0.286,0.43,0.557
0.458,0.566,0.296,0.425,0.568
0.454,0.552,0.294,0.458,0.566
0.452,0.555,0.285,0.454,0.552
0.449,0.55,0.282,0.452,0.555
0.433,0.53,0.288,0.449,0.55
0.433,0.538,0.297,0.433,0.53
0.431,0.54,0.285,0.433,0.538
0.424,0.536,0.289,0.431,0.54
0.427,0.536,0.284,0.424,0.536
0.434,0.541,0.292,0.427,0.536
0.456,0.555,0.307,0.434,0.541
0.449,0.568,0.316,0.456,0.555
0.477,0.614,0.33,0.449,0.568
0.492,0.646,0.358,0.477,0.614
0.505,0.696,0.386,0.492,0.646
0.528,0.751,0.418,0.505,0.696
0.521,0.745,0.422,0.528,0.751
0.52,0.746,0.42,0.521,0.745
0.518,0.731,0.425,0.52,0.746
0.508,0.732,0.419,0.518,0.731
0.506,0.699,0.402,0.508,0.732
0.507,0.689,0.393,0.506,0.699
0.49,0.658,0.379,0.507,0.689
0.471,0.596,0.348,0.49,0.658
0.459,0.591,0.33,0.471,0.596
0.432,0.538,0.297,0.459,0.591
0.426,0.542,0.29,0.432,0.538
0.428,0.536,0.29,0.426,0.542
0.446,0.534,0.287,0.428,0.536
0.44,0.559,0.287,0.446,0.534
