Metric_0,Metric_1,Metric_2,Metric_3,Metric_4
0.317,0.519,0.336,0.33,0.542
0.358,0.522,0.334,0.317,0.519
0.325,0.545,0.331,0.358,0.522
0.324,0.519,0.318,0.325,0.545
0.327,0.507,0.326,0.324,0.519
0.322,0.551,0.322,0.327,0.507
0.314,0.541,0.316,0.322,0.551
0.376,0.601,0.364,0.314,0.541
0.367,0.607,0.368,0.376,0.601
0.361,0.597,0.357,0.367,0.607
0.366,0.62,0.366,0.361,0.597
0.366,0.634,0.373,0.366,0.62
0.382,0.648,0.38,0.366,0.634
0.366,0.654,0.363,0.382,0.648
0.362,0.654,0.369,0.366,0.654
0.367,0.652,0.361,0.362,0.654
0.37,0.64,0.374,0.367,0.652
0.379,0.617,0.371,0.37,0.64
0.363,0.604,0.36,0.379,0.617
0.37,0.598,0.362,0.363,0.604
0.379,0.586,0.374,0.37,0.598
0.376,0.588,0.368,0.379,0.586
0.377,0.591,0.374,0.376,0.588
0.382,0.575,0.373,0.377,0.591
0.374,0.557,0.378,0.382,0.575
0.366,0.571,0.347,0.374,0.557
0.338,0.52,0.345,0.366,0.571
0.337,0.502,0.34,0.338,0.52
0.369,0.533,0.353,0.337,0.502
0.322,0.527,0.319,0.369,0.533
0.332,0.497,0.337,0.322,0.527
0.33,0.525,0.32,0.332,0.497
0.341,0.569,0.34,0.33,0.525
0.333,0.548,0.359,0.341,0.569
0.329,0.519,0.354,0.333,0.548
0.336,0.508,0.345,0.329,0.519
0.323,0.542,0.328,0.336,0.508
0.332,0.489,0.343,0.323,0.542
0.318,0.472,0.325,0.332,0.489
0.316,0.461,0.315,0.318,0.472
0.32,0.501,0.319,0.316,0.461
0.319,0.553,0.31,0.32,0.501
0.326,0.471,0.316,0.319,0.553
0.307,0.527,0.312,0.326,0.471
0.321,0.575,0.321,0.307,0.527
0.332,0.517,0.32,0.321,0.575
0.318,0.486,0.324,0.332,0.517
0.322,0.433,0.297,0.318,0.486
0.305,0.465,0.3,0.322,0.433
0.306,0.494,0.325,0.305,0.465
0.326,0.498,0.325,0.306,0.494
0.309,0.469,0.301,0.326,0.498
0.309,0.452,0.311,0.309,0.469
0.37,0.461,0.31,0.309,0.452
0.314,0.47,0.317,0.37,0.461
0.302,0.491,0.302,0.314,0.47
0.311,0.429,0.311,0.302,0.491
0.314,0.484,0.306,0.311,0.429
0.34,0.469,0.307,0.314,0.484
0.332,0.473,0.338,0.34,0.469
0.336,0.519,0.343,0.332,0.473
0.306,0.466,0.322,0.336,0.519
0.312,0.469,0.32,0.306,0.466
0.339,0.457,0.313,0.312,0.469
0.31,0.432,0.31,0.339,0.457
0.315,0.481,0.312,0.31,0.432
0.31,0.447,0.299,0.315,0.481
0.32,0.449,0.317,0.31,0.447
0.294,0.46,0.293,0.32,0.449
0.327,0.5,0.325,0.294,0.46
0.322,0.478,0.309,0.327,0.5
0.378,0.542,0.366,0.322,0.478
0.381,0.518,0.359,0.378,0.542
0.376,0.512,0.353,0.381,0.518
0.371,0.527,0.36,0.376,0.512
0.382,0.527,0.364,0.371,0.527
0.39,0.539,0.357,0.382,0.527
0.387,0.534,0.361,0.39,0.539
0.374,0.548,0.364,0.387,0.534
0.367,0.553,0.375,0.374,0.548
0.363,0.541,0.356,0.367,0.553
0.361,0.546,0.355,0.363,0.541
0.357,0.532,0.359,0.361,0.546
0.365,0.526,0.354,0.357,0.532
0.353,0.522,0.347,0.365,0.526
0.357,0.548,0.356,0.353,0.522
0.371,0.537,0.343,0.357,0.548
0.38,0.548,0.351,0.371,0.537
0.374,0.554,0.352,0.38,0.548
0.377,0.478,0.33,0.374,0.554
0.341,0.491,0.342,0.377,0.478
0.343,0.525,0.329,0.341,0.491
0.353,0.542,0.364,0.343,0.525
0.361,0.534,0.358,0.353,0.542
0.331,0.463,0.338,0.361,0.534
0.334,0.495,0.325,0.331,0.463
0.342,0.49,0.32,0.334,0.495
0.335,0.469,0.314,0.342,0.49
0.346,0.509,0.365,0.335,0.469
0.335,0.467,0.342,0.346,0.509
0.354,0.445,0.345,0.335,0.467
0.336,0.484,0.311,0.354,0.445
0.343,0.5,0.374,0.336,0.484
0.333,0.514,0.343,0.343,0.5
0.306,0.489,0.316,0.333,0.514
0.338,0.512,0.329,0.306,0.489
0.364,0.508,0.35,0.338,0.512
0.357,0.503,0.346,0.364,0.508
0.357,0.511,0.347,0.357,0.503
0.348,0.526,0.351,0.357,0.511
0.335,0.569,0.344,0.348,0.526
0.342,0.528,0.34,0.335,0.569
0.322,0.483,0.317,0.342,0.528
0.314,0.55,0.342,0.322,0.483
0.328,0.519,0.333,0.314,0.55
0.314,0.544,0.331,0.328,0.519
0.338,0.49,0.337,0.314,0.544
0.333,0.538,0.322,0.338,0.49
0.339,0.575,0.357,0.333,0.538
0.357,0.506,0.347,0.339,0.575
0.354,0.595,0.349,0.357,0.506
0.348,0.586,0.353,0.354,0.595
0.354,0.59,0.348,0.348,0.586
0.346,0.575,0.343,0.354,0.59
0.361,0.577,0.358,0.346,0.575
0.365,0.531,0.354,0.361,0.577
0.371,0.515,0.385,0.365,0.531
0.372,0.512,0.389,0.371,0.515
0.393,0.51,0.381,0.372,0.512
0.387,0.506,0.381,0.393,0.51
0.391,0.484,0.385,0.387,0.506
0.388,0.509,0.386,0.391,0.484
0.389,0.525,0.395,0.388,0.509
0.388,0.539,0.394,0.389,0.525
0.384,0.546,0.38,0.388,0.539
0.375,0.545,0.387,0.384,0.546
0.36,0.572,0.337,0.375,0.545
0.331,0.528,0.355,0.36,0.572
0.356,0.585,0.344,0.331,0.528
0.374,0.584,0.377,0.356,0.585
0.385,0.566,0.381,0.374,0.584
0.367,0.611,0.361,0.385,0.566
0.383,0.568,0.365,0.367,0.611
0.339,0.542,0.343,0.383,0.568
0.353,0.507,0.355,0.339,0.542
0.35,0.553,0.329,0.353,0.507
