Metric_0,Metric_1,Metric_2,Metric_3,Metric_4
0.179,0.245,0.201,0.167,0.236
0.162,0.219,0.176,0.179,0.245
0.172,0.232,0.181,0.162,0.219
0.169,0.229,0.186,0.172,0.232
0.178,0.237,0.186,0.169,0.229
0.162,0.249,0.184,0.178,0.237
0.165,0.219,0.189,0.162,0.249
0.161,0.223,0.175,0.165,0.219
0.163,0.233,0.175,0.161,0.223
0.178,0.242,0.176,0.163,0.233
0.17,0.21,0.192,0.178,0.242
0.152,0.213,0.172,0.17,0.21
0.166,0.205,0.174,0.152,0.213
0.166,0.24,0.185,0.166,0.205
0.162,0.23,0.175,0.166,0.24
0.168,0.218,0.183,0.162,0.23
0.17,0.227,0.181,0.168,0.218
0.18,0.236,0.192,0.17,0.227
0.186,0.245,0.193,0.18,0.236
0.173,0.23,0.196,0.186,0.245
0.178,0.238,0.195,0.173,0.23
0.179,0.235,0.193,0.178,0.238
0.191,0.219,0.189,0.179,0.235
0.178,0.246,0.184,0.191,0.219
0.171,0.237,0.191,0.178,0.246
0.168,0.238,0.178,0.171,0.237
0.179,0.259,0.197,0.168,0.238
0.188,0.256,0.187,0.179,0.259
0.185,0.239,0.184,0.188,0.256
0.183,0.231,0.19,0.185,0.239
0.242,0.26,0.272,0.183,0.231
0.176,0.251,0.183,0.242,0.26
0.171,0.266,0.182,0.176,0.251
0.179,0.227,0.182,0.171,0.266
0.173,0.226,0.186,0.179,0.227
0.188,0.256,0.19,0.173,0.226
0.178,0.235,0.194,0.188,0.256
0.176,0.241,0.188,0.178,0.235
0.175,0.229,0.179,0.176,0.241
0.176,0.23,0.186,0.175,0.229
0.174,0.221,0.19,0.176,0.23
0.243,0.262,0.271,0.174,0.221
0.174,0.223,0.179,0.243,0.262
0.184,0.23,0.188,0.174,0.223
0.182,0.246,0.188,0.184,0.23
0.177,0.23,0.18,0.182,0.246
0.179,0.233,0.186,0.177,0.23
0.175,0.238,0.197,0.179,0.233
0.178,0.239,0.202,0.175,0.238
0.201,0.255,0.198,0.178,0.239
0.187,0.231,0.2,0.201,0.255
0.179,0.231,0.192,0.187,0.231
0.184,0.234,0.196,0.179,0.231
0.183,0.235,0.19,0.184,0.234
0.185,0.245,0.19,0.183,0.235
0.175,0.228,0.186,0.185,0.245
0.179,0.248,0.194,0.175,0.228
0.18,0.251,0.194,0.179,0.248
0.166,0.239,0.181,0.18,0.251
0.174,0.227,0.182,0.166,0.239
0.177,0.25,0.183,0.174,0.227
0.179,0.274,0.189,0.177,0.25
0.175,0.234,0.185,0.179,0.274
0.165,0.232,0.178,0.175,0.234
0.17,0.246,0.184,0.165,0.232
0.175,0.224,0.175,0.17,0.246
0.158,0.224,0.177,0.175,0.224
0.16,0.202,0.176,0.158,0.224
0.166,0.256,0.178,0.16,0.202
0.16,0.221,0.18,0.166,0.256
0.163,0.252,0.17,0.16,0.221
0.154,0.232,0.179,0.163,0.252
0.161,0.241,0.175,0.154,0.232
0.164,0.235,0.172,0.161,0.241
0.167,0.262,0.178,0.164,0.235
0.17,0.241,0.18,0.167,0.262
0.16,0.219,0.167,0.17,0.241
0.167,0.243,0.175,0.16,0.219
0.158,0.242,0.164,0.167,0.243
0.164,0.247,0.171,0.158,0.242
0.158,0.219,0.169,0.164,0.247
0.165,0.229,0.175,0.158,0.219
0.159,0.221,0.173,0.165,0.229
0.165,0.251,0.214,0.159,0.221
0.184,0.257,0.206,0.165,0.251
0.169,0.235,0.179,0.184,0.257
0.177,0.25,0.192,0.169,0.235
0.169,0.253,0.185,0.177,0.25
0.186,0.274,0.2,0.169,0.253
0.187,0.282,0.199,0.186,0.274
0.206,0.276,0.229,0.187,0.282
0.236,0.351,0.267,0.206,0.276
0.255,0.363,0.338,0.236,0.351
0.253,0.387,0.355,0.255,0.363
