Metric_0,Metric_1,Metric_2,Metric_3,Metric_4
0.33,0.51,0.363,0.33,0.521
0.329,0.511,0.365,0.33,0.51
0.333,0.511,0.372,0.329,0.511
0.339,0.507,0.376,0.333,0.511
0.346,0.5,0.371,0.339,0.507
0.353,0.511,0.346,0.346,0.5
0.344,0.511,0.355,0.353,0.511
0.338,0.508,0.36,0.344,0.511
0.343,0.51,0.355,0.338,0.508
0.353,0.516,0.351,0.343,0.51
0.37,0.514,0.337,0.353,0.516
0.367,0.512,0.342,0.37,0.514
0.357,0.519,0.335,0.367,0.512
0.363,0.522,0.337,0.357,0.519
0.353,0.519,0.335,0.363,0.522
0.338,0.509,0.347,0.353,0.519
0.332,0.509,0.331,0.338,0.509
0.343,0.534,0.328,0.332,0.509
0.332,0.53,0.336,0.343,0.534
0.343,0.54,0.334,0.332,0.53
0.344,0.536,0.339,0.343,0.54
0.332,0.537,0.33,0.344,0.536
0.331,0.528,0.327,0.332,0.537
0.336,0.529,0.327,0.331,0.528
0.337,0.526,0.33,0.336,0.529
0.329,0.532,0.329,0.337,0.526
0.324,0.528,0.338,0.329,0.532
0.328,0.534,0.333,0.324,0.528
0.327,0.521,0.322,0.328,0.534
0.329,0.539,0.323,0.327,0.521
0.331,0.549,0.322,0.329,0.539
0.333,0.537,0.322,0.331,0.549
0.337,0.54,0.323,0.333,0.537
0.336,0.542,0.328,0.337,0.54
0.333,0.546,0.342,0.336,0.542
0.339,0.543,0.34,0.333,0.546
0.333,0.552,0.333,0.339,0.543
0.318,0.559,0.332,0.333,0.552
0.329,0.545,0.335,0.318,0.559
0.332,0.514,0.327,0.329,0.545
0.339,0.542,0.329,0.332,0.514
0.327,0.539,0.33,0.339,0.542
0.321,0.541,0.345,0.327,0.539
0.331,0.535,0.345,0.321,0.541
0.338,0.551,0.343,0.331,0.535
0.327,0.535,0.35,0.338,0.551
0.329,0.533,0.354,0.327,0.535
0.331,0.522,0.354,0.329,0.533
0.327,0.518,0.356,0.331,0.522
0.325,0.507,0.352,0.327,0.518
0.344,0.494,0.356,0.325,0.507
0.341,0.488,0.352,0.344,0.494
0.349,0.48,0.356,0.341,0.488
0.336,0.489,0.361,0.349,0.48
0.36,0.493,0.341,0.336,0.489
0.364,0.517,0.328,0.36,0.493
0.354,0.511,0.331,0.364,0.517
0.358,0.516,0.326,0.354,0.511
0.366,0.508,0.33,0.358,0.516
0.354,0.513,0.331,0.366,0.508
0.342,0.531,0.334,0.354,0.513
0.347,0.54,0.332,0.342,0.531
0.348,0.559,0.337,0.347,0.54
0.332,0.55,0.338,0.348,0.559
0.345,0.552,0.342,0.332,0.55
0.363,0.552,0.342,0.345,0.552
0.336,0.517,0.334,0.363,0.552
0.334,0.522,0.342,0.336,0.517
0.341,0.53,0.355,0.334,0.522
0.349,0.531,0.37,0.341,0.53
0.349,0.531,0.361,0.349,0.531
0.336,0.52,0.365,0.349,0.531
0.351,0.512,0.365,0.336,0.52
0.345,0.514,0.352,0.351,0.512
0.345,0.523,0.344,0.345,0.514
0.341,0.522,0.337,0.345,0.523
0.345,0.521,0.338,0.341,0.522
0.348,0.517,0.345,0.345,0.521
0.342,0.519,0.341,0.348,0.517
0.349,0.527,0.349,0.342,0.519
0.346,0.517,0.336,0.349,0.527
0.354,0.528,0.351,0.346,0.517
0.361,0.526,0.363,0.354,0.528
0.359,0.523,0.363,0.361,0.526
0.367,0.53,0.363,0.359,0.523
0.364,0.528,0.358,0.367,0.53
0.369,0.532,0.354,0.364,0.528
0.363,0.537,0.351,0.369,0.532
0.346,0.541,0.348,0.363,0.537
0.33,0.555,0.35,0.346,0.541
0.339,0.535,0.348,0.33,0.555
0.324,0.522,0.336,0.339,0.535
0.329,0.518,0.33,0.324,0.522
0.329,0.513,0.33,0.329,0.518
0.324,0.493,0.334,0.329,0.513
0.33,0.484,0.337,0.324,0.493
0.33,0.483,0.337,0.33,0.484
0.322,0.492,0.347,0.33,0.483
0.328,0.502,0.344,0.322,0.492
0.335,0.522,0.346,0.328,0.502
0.333,0.529,0.353,0.335,0.522
0.331,0.522,0.352,0.333,0.529
0.327,0.529,0.349,0.331,0.522
0.337,0.541,0.366,0.327,0.529
0.342,0.54,0.357,0.337,0.541
0.337,0.54,0.358,0.342,0.54
0.334,0.544,0.362,0.337,0.54
0.334,0.55,0.364,0.334,0.544
0.346,0.551,0.355,0.334,0.55
0.342,0.52,0.345,0.346,0.551
0.35,0.528,0.346,0.342,0.52
0.341,0.524,0.348,0.35,0.528
0.333,0.518,0.333,0.341,0.524
0.338,0.528,0.326,0.333,0.518
0.335,0.544,0.328,0.338,0.528
0.332,0.547,0.321,0.335,0.544
0.34,0.546,0.323,0.332,0.547
0.341,0.555,0.326,0.34,0.546
0.349,0.533,0.352,0.341,0.555
0.338,0.536,0.354,0.349,0.533
