Metric_0,Metric_1,Metric_2,Metric_3,Metric_4
0.213,0.251,0.224,0.206,0.266
0.198,0.283,0.216,0.213,0.251
0.203,0.28,0.213,0.198,0.283
0.194,0.279,0.209,0.203,0.28
0.223,0.286,0.228,0.194,0.279
0.23,0.28,0.217,0.223,0.286
0.3,0.29,0.286,0.23,0.28
0.209,0.274,0.212,0.3,0.29
0.21,0.273,0.243,0.209,0.274
0.2,0.284,0.215,0.21,0.273
0.197,0.273,0.221,0.2,0.284
0.204,0.266,0.216,0.197,0.273
0.212,0.295,0.226,0.204,0.266
0.198,0.273,0.214,0.212,0.295
0.197,0.267,0.208,0.198,0.273
0.205,0.276,0.221,0.197,0.267
0.218,0.257,0.213,0.205,0.276
0.2,0.28,0.226,0.218,0.257
0.211,0.297,0.218,0.2,0.28
0.214,0.283,0.226,0.211,0.297
0.203,0.274,0.22,0.214,0.283
0.21,0.286,0.229,0.203,0.274
0.203,0.287,0.215,0.21,0.286
0.21,0.303,0.217,0.203,0.287
0.205,0.298,0.233,0.21,0.303
0.207,0.278,0.21,0.205,0.298
0.2,0.264,0.212,0.207,0.278
0.198,0.27,0.231,0.2,0.264
0.202,0.285,0.219,0.198,0.27
0.211,0.281,0.216,0.202,0.285
0.201,0.291,0.218,0.211,0.281
0.201,0.28,0.234,0.201,0.291
0.212,0.281,0.219,0.201,0.28
0.195,0.281,0.207,0.212,0.281
0.197,0.273,0.202,0.195,0.281
0.2,0.264,0.194,0.197,0.273
0.199,0.278,0.197,0.2,0.264
0.181,0.278,0.193,0.199,0.278
0.198,0.299,0.189,0.181,0.278
0.187,0.269,0.199,0.198,0.299
0.194,0.276,0.195,0.187,0.269
0.188,0.276,0.193,0.194,0.276
0.189,0.275,0.21,0.188,0.276
0.192,0.27,0.205,0.189,0.275
0.192,0.264,0.195,0.192,0.27
0.286,0.34,0.292,0.192,0.264
0.181,0.23,0.189,0.286,0.34
0.173,0.232,0.194,0.181,0.23
0.176,0.242,0.196,0.173,0.232
0.179,0.267,0.198,0.176,0.242
0.169,0.264,0.188,0.179,0.267
0.177,0.263,0.186,0.169,0.264
0.193,0.256,0.189,0.177,0.263
0.182,0.252,0.197,0.193,0.256
0.188,0.279,0.21,0.182,0.252
0.18,0.277,0.218,0.188,0.279
0.179,0.235,0.195,0.18,0.277
0.18,0.256,0.194,0.179,0.235
0.177,0.256,0.2,0.18,0.256
0.182,0.26,0.196,0.177,0.256
0.178,0.272,0.194,0.182,0.26
0.177,0.272,0.183,0.178,0.272
0.171,0.249,0.186,0.177,0.272
0.174,0.251,0.19,0.171,0.249
0.182,0.261,0.186,0.174,0.251
0.176,0.247,0.187,0.182,0.261
0.169,0.256,0.177,0.176,0.247
0.184,0.26,0.2,0.169,0.256
0.17,0.235,0.196,0.184,0.26
0.169,0.237,0.188,0.17,0.235
0.171,0.267,0.192,0.169,0.237
0.184,0.261,0.193,0.171,0.267
0.185,0.272,0.204,0.184,0.261
0.179,0.263,0.192,0.185,0.272
0.178,0.244,0.18,0.179,0.263
0.177,0.256,0.19,0.178,0.244
0.177,0.269,0.185,0.177,0.256
0.18,0.244,0.209,0.177,0.269
0.187,0.243,0.193,0.18,0.244
0.189,0.254,0.201,0.187,0.243
0.183,0.245,0.191,0.189,0.254
0.179,0.257,0.193,0.183,0.245
0.19,0.241,0.195,0.179,0.257
0.19,0.259,0.207,0.19,0.241
0.197,0.239,0.211,0.19,0.259
0.203,0.277,0.207,0.197,0.239
0.194,0.276,0.201,0.203,0.277
0.19,0.253,0.223,0.194,0.276
0.189,0.277,0.222,0.19,0.253
0.188,0.264,0.212,0.189,0.277
0.22,0.252,0.22,0.188,0.264
0.209,0.276,0.219,0.22,0.252
0.197,0.255,0.217,0.209,0.276
0.203,0.272,0.208,0.197,0.255
0.21,0.284,0.222,0.203,0.272
0.206,0.262,0.21,0.21,0.284
0.194,0.266,0.207,0.206,0.262
0.198,0.271,0.221,0.194,0.266
0.195,0.267,0.224,0.198,0.271
0.194,0.269,0.203,0.195,0.267
0.195,0.279,0.221,0.194,0.269
0.192,0.254,0.201,0.195,0.279
0.195,0.255,0.205,0.192,0.254
0.205,0.281,0.208,0.195,0.255
0.194,0.242,0.209,0.205,0.281
0.2,0.267,0.21,0.194,0.242
0.197,0.24,0.214,0.2,0.267
0.196,0.251,0.215,0.197,0.24
0.204,0.273,0.217,0.196,0.251
0.183,0.248,0.205,0.204,0.273
0.192,0.266,0.21,0.183,0.248
0.203,0.254,0.209,0.192,0.266
0.2,0.237,0.211,0.203,0.254
0.184,0.245,0.205,0.2,0.237
0.207,0.249,0.202,0.184,0.245
0.197,0.257,0.209,0.207,0.249
0.19,0.251,0.21,0.197,0.257
0.19,0.261,0.205,0.19,0.251
0.195,0.263,0.21,0.19,0.261
0.196,0.243,0.198,0.195,0.263
0.191,0.248,0.193,0.196,0.243
0.189,0.25,0.2,0.191,0.248
0.185,0.243,0.199,0.189,0.25
0.199,0.263,0.216,0.185,0.243
0.188,0.238,0.203,0.199,0.263
0.184,0.242,0.207,0.188,0.238
0.19,0.252,0.195,0.184,0.242
0.18,0.277,0.203,0.19,0.252
0.183,0.24,0.195,0.18,0.277
0.18,0.247,0.184,0.183,0.24
0.18,0.252,0.193,0.18,0.247
0.165,0.244,0.18,0.18,0.252
0.17,0.248,0.194,0.165,0.244
0.172,0.246,0.182,0.17,0.248
0.169,0.249,0.186,0.172,0.246
0.169,0.249,0.185,0.169,0.249
0.166,0.249,0.177,0.169,0.249
0.18,0.239,0.19,0.166,0.249
0.179,0.241,0.196,0.18,0.239
0.191,0.266,0.194,0.179,0.241
0.178,0.235,0.181,0.191,0.266
0.182,0.242,0.2,0.178,0.235
0.178,0.263,0.213,0.182,0.242
0.192,0.285,0.194,0.178,0.263
0.18,0.237,0.192,0.192,0.285
0.185,0.275,0.191,0.18,0.237
0.17,0.243,0.189,0.185,0.275
0.173,0.257,0.193,0.17,0.243
0.18,0.259,0.187,0.173,0.257
0.18,0.26,0.2,0.18,0.259
0.187,0.252,0.199,0.18,0.26
0.184,0.254,0.181,0.187,0.252
0.175,0.244,0.19,0.184,0.254
0.171,0.233,0.188,0.175,0.244
0.189,0.241,0.183,0.171,0.233
0.172,0.251,0.188,0.189,0.241
0.182,0.246,0.191,0.172,0.251
0.186,0.263,0.188,0.182,0.246
0.173,0.269,0.186,0.186,0.263
0.165,0.252,0.197,0.173,0.269
0.167,0.256,0.204,0.165,0.252
