Metric_0,Metric_1,Metric_2,Metric_3,Metric_4
0.277,0.437,0.292,0.275,0.44
0.279,0.439,0.287,0.277,0.437
0.276,0.443,0.297,0.279,0.439
0.27,0.446,0.295,0.276,0.443
0.271,0.44,0.283,0.27,0.446
0.275,0.449,0.289,0.271,0.44
0.275,0.449,0.281,0.275,0.449
0.276,0.437,0.279,0.275,0.449
0.268,0.431,0.277,0.276,0.437
0.276,0.437,0.29,0.268,0.431
0.273,0.422,0.278,0.276,0.437
0.279,0.414,0.29,0.273,0.422
0.273,0.412,0.291,0.279,0.414
0.287,0.413,0.293,0.273,0.412
0.287,0.413,0.281,0.287,0.413
0.271,0.401,0.291,0.287,0.413
0.27,0.406,0.284,0.271,0.401
0.268,0.423,0.293,0.27,0.406
0.258,0.434,0.295,0.268,0.423
0.274,0.433,0.3,0.258,0.434
0.279,0.436,0.309,0.274,0.433
0.291,0.443,0.311,0.279,0.436
0.29,0.457,0.299,0.291,0.443
0.271,0.461,0.297,0.29,0.457
0.277,0.465,0.285,0.271,0.461
0.281,0.481,0.284,0.277,0.465
0.285,0.486,0.287,0.281,0.481
0.288,0.474,0.296,0.285,0.486
0.288,0.462,0.284,0.288,0.474
0.275,0.456,0.28,0.288,0.462
0.279,0.444,0.291,0.275,0.456
0.287,0.441,0.285,0.279,0.444
0.287,0.432,0.285,0.287,0.441
0.279,0.416,0.282,0.287,0.432
0.29,0.411,0.286,0.279,0.416
0.307,0.412,0.317,0.29,0.411
0.318,0.438,0.324,0.307,0.412
0.33,0.449,0.321,0.318,0.438
0.338,0.448,0.32,0.33,0.449
0.339,0.446,0.322,0.338,0.448
0.358,0.453,0.362,0.339,0.446
0.382,0.469,0.406,0.358,0.453
0.394,0.474,0.407,0.382,0.469
0.396,0.481,0.399,0.394,0.474
0.382,0.488,0.392,0.396,0.481
0.36,0.472,0.372,0.382,0.488
0.344,0.452,0.374,0.36,0.472
0.34,0.463,0.372,0.344,0.452
0.345,0.467,0.371,0.34,0.463
0.358,0.466,0.37,0.345,0.467
0.341,0.461,0.343,0.358,0.466
0.31,0.463,0.323,0.341,0.461
0.297,0.442,0.296,0.31,0.463
0.307,0.439,0.289,0.297,0.442
0.292,0.43,0.285,0.307,0.439
0.298,0.433,0.287,0.292,0.43
0.307,0.445,0.294,0.298,0.433
0.302,0.439,0.298,0.307,0.445
0.292,0.437,0.297,0.302,0.439
0.278,0.44,0.286,0.292,0.437
0.283,0.477,0.296,0.278,0.44
0.281,0.475,0.294,0.283,0.477
0.285,0.466,0.285,0.281,0.475
0.285,0.484,0.282,0.285,0.466
0.281,0.487,0.288,0.285,0.484
0.295,0.483,0.297,0.281,0.487
0.286,0.488,0.285,0.295,0.483
0.287,0.468,0.289,0.286,0.488
0.285,0.468,0.284,0.287,0.468
0.284,0.459,0.292,0.285,0.468
0.304,0.457,0.307,0.284,0.459
0.308,0.459,0.316,0.304,0.457
0.334,0.465,0.33,0.308,0.459
0.361,0.467,0.358,0.334,0.465
0.387,0.466,0.386,0.361,0.467
0.432,0.483,0.418,0.387,0.466
0.435,0.483,0.422,0.432,0.483
0.43,0.486,0.42,0.435,0.483
0.435,0.479,0.425,0.43,0.486
0.427,0.486,0.419,0.435,0.479
0.417,0.484,0.402,0.427,0.486
0.419,0.488,0.393,0.417,0.484
0.393,0.499,0.379,0.419,0.488
0.353,0.494,0.348,0.393,0.499
0.327,0.491,0.33,0.353,0.494
0.307,0.465,0.297,0.327,0.491
0.29,0.449,0.29,0.307,0.465
0.29,0.444,0.29,0.29,0.449
0.301,0.442,0.287,0.29,0.444
0.295,0.44,0.287,0.301,0.442
0.282,0.456,0.292,0.295,0.44
0.278,0.45,0.286,0.282,0.456
0.273,0.453,0.292,0.278,0.45
0.278,0.436,0.286,0.273,0.453
0.281,0.448,0.295,0.278,0.436
0.288,0.44,0.297,0.281,0.448
0.289,0.441,0.299,0.288,0.44
0.293,0.431,0.292,0.289,0.441
0.309,0.437,0.294,0.293,0.431
0.288,0.431,0.306,0.309,0.437
0.291,0.432,0.315,0.288,0.431
