Metric_0,Metric_1,Metric_2,Metric_3,Metric_4
0.326,0.433,0.333,0.32,0.446
0.322,0.444,0.337,0.326,0.433
0.327,0.438,0.339,0.322,0.444
0.353,0.449,0.346,0.327,0.438
0.346,0.454,0.34,0.353,0.449
0.347,0.465,0.329,0.346,0.454
0.342,0.458,0.324,0.347,0.465
0.339,0.453,0.329,0.342,0.458
0.332,0.449,0.325,0.339,0.453
0.336,0.446,0.34,0.332,0.449
0.342,0.447,0.314,0.336,0.446
0.324,0.456,0.322,0.342,0.447
0.321,0.453,0.309,0.324,0.456
0.322,0.438,0.316,0.321,0.453
0.323,0.416,0.319,0.322,0.438
0.314,0.403,0.322,0.323,0.416
0.325,0.409,0.324,0.314,0.403
0.321,0.412,0.337,0.325,0.409
0.315,0.412,0.345,0.321,0.412
0.329,0.408,0.322,0.315,0.412
0.322,0.419,0.319,0.329,0.408
0.316,0.421,0.34,0.322,0.419
0.325,0.416,0.33,0.316,0.421
0.326,0.412,0.333,0.325,0.416
0.334,0.413,0.32,0.326,0.412
0.326,0.415,0.319,0.334,0.413
0.326,0.422,0.317,0.326,0.415
0.317,0.424,0.317,0.326,0.422
0.325,0.447,0.328,0.317,0.424
0.329,0.45,0.309,0.325,0.447
0.32,0.462,0.324,0.329,0.45
0.321,0.455,0.32,0.32,0.462
0.328,0.461,0.314,0.321,0.455
0.314,0.465,0.321,0.328,0.461
0.312,0.456,0.32,0.314,0.465
0.31,0.448,0.328,0.312,0.456
0.314,0.446,0.325,0.31,0.448
0.317,0.451,0.322,0.314,0.446
0.326,0.44,0.337,0.317,0.451
0.331,0.427,0.337,0.326,0.44
0.337,0.419,0.327,0.331,0.427
0.343,0.414,0.312,0.337,0.419
0.337,0.419,0.318,0.343,0.414
0.335,0.424,0.319,0.337,0.419
0.328,0.444,0.315,0.335,0.424
0.333,0.45,0.318,0.328,0.444
0.331,0.451,0.322,0.333,0.45
0.342,0.457,0.327,0.331,0.451
0.332,0.475,0.327,0.342,0.457
0.335,0.476,0.319,0.332,0.475
0.337,0.482,0.321,0.335,0.476
0.335,0.502,0.317,0.337,0.482
0.33,0.502,0.332,0.335,0.502
0.318,0.496,0.324,0.33,0.502
0.322,0.495,0.337,0.318,0.496
0.33,0.488,0.321,0.322,0.495
0.322,0.496,0.328,0.33,0.488
0.33,0.491,0.322,0.322,0.496
0.329,0.483,0.316,0.33,0.491
0.329,0.477,0.307,0.329,0.483
0.337,0.48,0.312,0.329,0.477
0.333,0.471,0.312,0.337,0.48
0.33,0.461,0.326,0.333,0.471
0.336,0.453,0.323,0.33,0.461
0.344,0.455,0.33,0.336,0.453
0.367,0.46,0.336,0.344,0.455
0.366,0.462,0.335,0.367,0.46
0.346,0.449,0.34,0.366,0.462
0.347,0.446,0.338,0.346,0.449
0.354,0.445,0.34,0.347,0.446
0.344,0.441,0.343,0.354,0.445
0.359,0.456,0.356,0.344,0.441
0.351,0.441,0.352,0.359,0.456
0.345,0.458,0.344,0.351,0.441
0.347,0.467,0.345,0.345,0.458
0.355,0.452,0.35,0.347,0.467
0.353,0.47,0.336,0.355,0.452
0.358,0.459,0.351,0.353,0.47
0.357,0.471,0.359,0.358,0.459
0.358,0.462,0.348,0.357,0.471
0.351,0.475,0.35,0.358,0.462
0.35,0.476,0.347,0.351,0.475
