"Sp1.TL1","Sp2.TL1","Sp3.TL1","Sp4.TL2","Sp5.TL3"
0.74062765063718,0.785538741154596,0.325457584345713,0.632882179226726,0.659430523402989
0.485542703509507,0.251357141807239,0.206987833457968,0.955514861190339,1.01348822602364
0.280114625358483,0.0718372856125994,0.112723321006478,0.901364084561807,1.36445238865809
0.144416703966157,0.0245081720485582,0.0536597512407548,0.723049249483109,1.62411381462749
0.0690911108844856,0.0105286843430243,0.0233651356629926,0.546899048704136,1.77409260419339
0.0318081078796646,0.00553172622579346,0.00971579770429908,0.403984641661389,1.83940370296963
0.014464978939391,0.00339967299753363,0.00397814426045415,0.295878839057018,1.84974778628415
0.00660761460326324,0.00234771855474103,0.00163537129743106,0.216501530834334,1.82655461601385
0.00306334104738987,0.00176515032282312,0.0006829869713844,0.158928967295007,1.78331804587184
0.00145036829551378,0.00141131803761492,0.000291844573081413,0.117314962494126,1.72832380306929
0.000703755096303772,0.00117971379744795,0.000128077691681067,0.0871935079204688,1.66672657845302
0.000350680683209826,0.00101842403276377,5.78700606764921e-05,0.0652987854929029,1.6017977932854
0.000179577568902741,0.000900085367551884,2.69400211017284e-05,0.0492904071624147,1.53564629632858
9.4539280059146e-05,0.000809321766696012,1.29314853636255e-05,0.0375060194277669,1.46964060832505
5.11582601635071e-05,0.000737036938627053,6.39886314349335e-06,0.028767417402555,1.404667361671
2.844056420077e-05,0.000677597057486784,3.26540107792652e-06,0.0222379867473067,1.3412940827169
1.62384881219034e-05,0.000627396667227596,1.71619206004547e-06,0.017322155145585,1.27987369316944
9.50358710702308e-06,0.000584043840504475,9.26212180317485e-07,0.0135928291685939,1.22061512854781
5.70756237589233e-06,0.000545916311046144,5.15248427876332e-07,0.0107426397394254,1.16362885248187
3.5123079861214e-06,0.000511883458500986,2.93645381623919e-07,0.00854856727191027,1.10895894631424
2.18835703472164e-06,0.000481134313389688,1.66236094463514e-07,0.00684704302991244,1.05660506721835
1.40400806397473e-06,0.000453086031524895,9.92908092179574e-08,0.00551872698228702,1.00653553055935
9.16752192054945e-07,0.000427303583480573,5.98811906849693e-08,0.0044748388286656,0.958699093588236
6.10298328966064e-07,0.000403458083601279,3.66832201415143e-08,0.00364925873675164,0.913031373257665
